Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Villanova,1,East,0.455,0.373,0.172,1.244,0.416,0.429,0.595,0.755,0.328,72.288,0.969,6.083,0.628,0.297,0.803,0.152,0.315,0.361,0.077,0.482,0.101,0.171,0.201,0.207,0.000,1.000,,,,,,,,,11
Xavier,1,West,0.503,0.271,0.227,1.268,0.392,0.352,0.591,0.798,0.434,73.451,0.935,-2.538,0.668,0.290,0.762,0.173,0.317,0.397,0.060,0.452,0.076,0.167,0.153,0.281,1.000,0.923,,,,,,,,,40
Virginia,1,South,0.529,0.302,0.169,1.163,0.392,0.340,0.551,0.764,0.292,64.217,0.966,5.083,0.565,0.262,0.783,0.144,0.304,0.428,0.079,0.424,0.109,0.138,0.218,0.265,0.000,0.917,,,,,,,,,32
Kansas,1,Midwest,0.533,0.369,0.098,1.236,0.415,0.398,0.605,0.725,0.182,74.119,0.958,2.750,0.651,0.295,0.764,0.163,0.329,0.410,0.078,0.454,0.108,0.157,0.195,0.250,1.000,0.833,,,,,,,,,3
Purdue,2,East,0.468,0.327,0.205,1.240,0.411,0.391,0.587,0.756,0.400,74.117,0.943,0.571,0.609,0.276,0.740,0.160,0.315,0.354,0.098,0.432,0.092,0.151,0.192,0.229,0.500,0.857,,,,,,,,,34
North Carolina,2,West,0.534,0.271,0.196,1.143,0.396,0.305,0.540,0.718,0.365,77.487,0.964,3.231,0.576,0.342,0.807,0.176,0.374,0.419,0.075,0.483,0.063,0.192,0.169,0.227,0.500,0.846,,,,,,,,,1
Cincinnati,2,South,0.512,0.294,0.194,1.133,0.376,0.348,0.538,0.689,0.376,73.205,0.973,8.077,0.574,0.360,0.778,0.182,0.342,0.390,0.106,0.440,0.119,0.145,0.236,0.262,0.000,0.846,,,,,,,,,74
Duke,2,Midwest,0.565,0.260,0.175,1.202,0.375,0.324,0.578,0.704,0.348,76.369,1.022,5.462,0.617,0.411,0.765,0.153,0.349,0.375,0.087,0.475,0.100,0.187,0.163,0.226,0.500,0.923,,,,,,,,,8
Texas Tech,3,East,0.549,0.260,0.191,1.152,0.373,0.318,0.553,0.665,0.392,73.888,0.965,8.917,0.581,0.334,0.783,0.169,0.301,0.427,0.087,0.423,0.129,0.127,0.250,0.351,0.000,0.917,,,,,,,,,7
Michigan,3,West,0.501,0.375,0.124,1.112,0.350,0.446,0.545,0.614,0.252,68.765,0.984,7.846,0.615,0.264,0.789,0.141,0.348,0.294,0.061,0.476,0.110,0.147,0.221,0.303,0.000,0.769,,,,,,,,,28
Tennessee,3,South,0.467,0.331,0.203,1.103,0.395,0.359,0.513,0.742,0.351,73.057,0.969,5.455,0.497,0.341,0.705,0.188,0.336,0.355,0.105,0.449,0.100,0.153,0.235,0.388,0.667,0.818,,,,,,,,,17
Michigan State,3,Midwest,0.518,0.295,0.187,1.218,0.399,0.354,0.582,0.724,0.369,72.822,0.958,-1.077,0.617,0.390,0.739,0.198,0.349,0.339,0.142,0.393,0.072,0.161,0.169,0.298,0.000,0.923,,,,,,,,,60
Wichita State,4,East,0.486,0.324,0.190,1.194,0.391,0.384,0.564,0.760,0.349,74.910,0.962,2.000,0.611,0.330,0.807,0.170,0.332,0.442,0.075,0.463,0.059,0.144,0.160,0.310,0.000,0.833,,,,,,,,,68
Gonzaga,4,West,0.495,0.320,0.185,1.225,0.374,0.408,0.584,0.743,0.357,77.275,0.948,1.385,0.640,0.335,0.766,0.182,0.374,0.375,0.056,0.486,0.100,0.163,0.176,0.325,0.500,0.769,,,,,,,,,90
Arizona,4,South,0.536,0.263,0.201,1.233,0.394,0.325,0.584,0.749,0.392,72.030,0.952,1.385,0.629,0.310,0.769,0.166,0.357,0.349,0.079,0.486,0.074,0.184,0.176,0.339,1.000,0.769,,,,,,,,,72
Auburn,4,Midwest,0.441,0.347,0.213,1.152,0.379,0.414,0.534,0.771,0.374,75.784,0.985,5.583,0.554,0.369,0.747,0.179,0.368,0.413,0.111,0.472,0.093,0.169,0.207,0.373,1.000,0.917,,,,,,,,,65
West Virginia,5,East,0.462,0.336,0.202,1.079,0.332,0.425,0.502,0.724,0.350,75.655,1.037,15.750,0.558,0.365,0.755,0.146,0.344,0.395,0.104,0.460,0.139,0.156,0.276,0.429,1.000,0.917,,,,,,,,,12
Ohio State,5,West,0.547,0.266,0.187,1.165,0.353,0.342,0.552,0.729,0.349,72.802,0.932,2.786,0.598,0.298,0.787,0.187,0.344,0.431,0.063,0.492,0.088,0.163,0.202,0.269,0.000,0.714,,,,,,,,,35
Kentucky,5,South,0.608,0.196,0.196,1.133,0.360,0.243,0.539,0.680,0.387,74.457,0.952,0.364,0.576,0.370,0.726,0.201,0.323,0.433,0.096,0.475,0.090,0.184,0.188,0.265,0.500,0.818,,,,,,,,,16
Clemson,5,Midwest,0.507,0.296,0.196,1.207,0.368,0.383,0.573,0.731,0.383,70.499,0.921,0.583,0.626,0.254,0.790,0.181,0.338,0.381,0.093,0.459,0.096,0.142,0.190,0.243,1.000,0.917,,,,,,,,,14
Florida,6,East,0.456,0.335,0.209,1.112,0.373,0.389,0.514,0.764,0.356,75.715,0.993,7.417,0.522,0.300,0.744,0.143,0.356,0.341,0.074,0.501,0.106,0.153,0.210,0.341,0.000,0.667,,,,,,,,,18
Houston,6,West,0.480,0.320,0.199,1.178,0.418,0.357,0.560,0.708,0.393,72.558,0.951,3.583,0.560,0.354,0.775,0.191,0.318,0.406,0.056,0.463,0.090,0.147,0.203,0.411,0.500,0.833,,,,,,,,,67
Miami,6,South,0.569,0.303,0.128,1.113,0.364,0.348,0.546,0.603,0.265,70.430,0.956,1.545,0.582,0.274,0.741,0.163,0.266,0.350,0.072,0.400,0.089,0.142,0.200,0.192,1.000,0.909,,,,,,,,,53
TCU,6,Midwest,0.528,0.294,0.178,1.239,0.412,0.347,0.598,0.703,0.369,74.376,0.948,3.250,0.631,0.329,0.806,0.178,0.333,0.420,0.063,0.515,0.097,0.220,0.178,0.270,1.000,1.000,,,,,,,,,26
Arkansas,7,East,0.532,0.289,0.179,1.193,0.415,0.325,0.574,0.693,0.360,77.549,0.968,5.364,0.589,0.256,0.745,0.136,0.338,0.399,0.090,0.494,0.093,0.166,0.209,0.373,0.000,0.818,,,,,,,,,36
Texas A&M,7,West,0.552,0.273,0.176,1.144,0.366,0.327,0.542,0.729,0.317,75.002,0.950,-1.667,0.593,0.340,0.755,0.196,0.268,0.407,0.103,0.416,0.091,0.182,0.162,0.260,0.000,0.917,,,,,,,,,6
Nevada,7,South,0.462,0.339,0.199,1.199,0.417,0.385,0.569,0.725,0.390,72.639,0.948,0.929,0.576,0.254,0.756,0.155,0.328,0.364,0.072,0.481,0.088,0.166,0.182,0.296,0.000,0.786,,,,,,,,,82
Rhode Island,7,Midwest,0.593,0.234,0.173,1.078,0.360,0.268,0.510,0.704,0.303,72.160,0.974,7.900,0.535,0.290,0.732,0.159,0.345,0.285,0.075,0.516,0.123,0.147,0.240,0.484,0.500,0.700,,,,,,,,,77
Virginia Tech,8,East,0.472,0.313,0.215,1.321,0.453,0.372,0.634,0.742,0.468,76.701,0.920,-2.000,0.667,0.261,0.751,0.174,0.298,0.367,0.056,0.460,0.071,0.178,0.175,0.293,1.000,0.833,,,,,,,,,43
Missouri,8,West,0.428,0.379,0.194,1.229,0.398,0.459,0.583,0.753,0.373,71.428,0.922,-1.667,0.631,0.354,0.762,0.214,0.317,0.362,0.081,0.451,0.084,0.146,0.173,0.279,0.667,0.750,,,,,,,,,54
Creighton,8,South,0.486,0.363,0.152,1.257,0.396,0.437,0.608,0.734,0.296,76.527,0.960,1.333,0.676,0.253,0.802,0.143,0.305,0.367,0.046,0.467,0.073,0.181,0.154,0.238,1.000,0.833,,,,,,,,,48
Seton Hall,8,Midwest,0.569,0.255,0.176,1.123,0.360,0.309,0.540,0.655,0.352,73.618,0.973,5.231,0.588,0.362,0.740,0.191,0.323,0.368,0.067,0.469,0.093,0.144,0.215,0.285,0.500,0.846,,,,,,,,,19
Alabama,9,East,0.524,0.257,0.219,1.118,0.346,0.335,0.530,0.660,0.450,74.722,0.932,-0.333,0.587,0.285,0.730,0.190,0.332,0.340,0.098,0.479,0.087,0.165,0.190,0.360,0.667,0.667,,,,,,,,,15
Florida State,9,West,0.529,0.317,0.154,1.175,0.378,0.378,0.571,0.662,0.313,76.433,0.960,3.833,0.604,0.345,0.704,0.184,0.288,0.371,0.096,0.422,0.114,0.140,0.230,0.247,0.500,0.917,,,,,,,,,20
Kansas State,9,South,0.510,0.313,0.177,1.166,0.348,0.403,0.553,0.738,0.323,67.628,0.975,4.333,0.601,0.306,0.706,0.154,0.331,0.442,0.054,0.458,0.118,0.174,0.225,0.375,0.667,0.833,,,,,,,,,31
NC State,9,Midwest,0.537,0.247,0.216,1.146,0.339,0.334,0.540,0.697,0.428,74.934,0.993,5.923,0.602,0.364,0.692,0.164,0.315,0.343,0.067,0.482,0.115,0.165,0.226,0.346,0.000,0.769,,,,,,,,,51
Butler,10,East,0.550,0.297,0.152,1.129,0.345,0.364,0.538,0.744,0.260,72.404,0.945,6.000,0.606,0.279,0.791,0.171,0.375,0.390,0.064,0.501,0.107,0.151,0.224,0.302,1.000,0.769,,,,,,,,,5
Providence,10,West,0.513,0.281,0.207,1.108,0.395,0.314,0.526,0.661,0.414,72.564,0.939,1.000,0.542,0.282,0.710,0.190,0.305,0.378,0.074,0.487,0.099,0.158,0.208,0.326,1.000,0.692,,,,,,,,,22
Texas,10,South,0.570,0.246,0.184,1.053,0.278,0.364,0.504,0.624,0.364,71.880,0.963,4.583,0.581,0.282,0.748,0.170,0.282,0.366,0.110,0.426,0.088,0.136,0.219,0.290,0.667,0.750,,,,,,,,,2
Oklahoma,10,Midwest,0.474,0.356,0.170,1.233,0.388,0.435,0.590,0.748,0.324,81.501,0.950,1.455,0.660,0.263,0.748,0.158,0.354,0.401,0.081,0.488,0.095,0.172,0.185,0.240,1.000,0.909,,,,,,,,,4
St. Bonaventure,11,East,0.483,0.258,0.258,1.110,0.384,0.304,0.503,0.750,0.467,71.748,0.957,4.500,0.526,0.283,0.715,0.164,0.288,0.412,0.064,0.456,0.114,0.168,0.232,0.453,0.750,0.833,,,,,,,,,80
San Diego State,11,West,0.506,0.269,0.225,1.068,0.314,0.360,0.489,0.749,0.378,74.615,0.962,4.400,0.560,0.292,0.772,0.174,0.307,0.404,0.052,0.459,0.087,0.180,0.205,0.263,0.500,0.700,,,,,,,,,93
Loyola-Chicago,11,South,0.518,0.295,0.187,1.221,0.420,0.337,0.586,0.710,0.380,69.383,0.865,-5.417,0.625,0.193,0.741,0.204,0.341,0.377,0.045,0.473,0.074,0.163,0.184,0.290,0.500,0.750,,,,,,,,,119
Syracuse,11,Midwest,0.547,0.223,0.230,1.033,0.298,0.308,0.476,0.686,0.414,70.927,0.988,6.167,0.530,0.381,0.774,0.183,0.336,0.461,0.112,0.463,0.126,0.229,0.202,0.329,0.500,0.833,,,,,,,,,24
Murray State,12,East,0.512,0.296,0.192,1.134,0.359,0.361,0.531,0.753,0.335,70.233,0.975,2.333,0.577,0.324,0.730,0.168,0.342,0.383,0.072,0.478,0.082,0.150,0.184,0.340,0.000,0.667,,,,,,,,,249
South Dakota State,12,West,0.410,0.391,0.199,1.163,0.402,0.442,0.546,0.747,0.362,76.061,0.936,0.154,0.535,0.236,0.783,0.166,0.338,0.401,0.037,0.528,0.070,0.195,0.164,0.284,1.000,0.615,,,,,,,,,159
Davidson,12,South,0.436,0.419,0.145,1.209,0.391,0.482,0.577,0.797,0.245,66.847,0.947,0.313,0.620,0.212,0.782,0.143,0.352,0.425,0.035,0.512,0.072,0.190,0.160,0.286,0.500,0.656,,,,,,,,,86
New Mexico State,12,Midwest,0.567,0.292,0.141,1.055,0.317,0.367,0.512,0.617,0.271,70.906,0.967,5.545,0.559,0.332,0.788,0.191,0.316,0.379,0.051,0.480,0.081,0.127,0.208,0.337,0.750,0.818,,,,,,,,,173
Marshall,13,East,0.491,0.316,0.193,1.183,0.344,0.424,0.559,0.744,0.359,80.872,0.919,-2.000,0.635,0.223,0.688,0.173,0.379,0.333,0.097,0.517,0.080,0.196,0.194,0.285,0.500,0.667,,,,,,,,,115
UNC-Greensboro,13,West,0.421,0.436,0.143,1.063,0.358,0.486,0.512,0.656,0.260,69.972,0.940,4.900,0.517,0.300,0.763,0.204,0.285,0.392,0.057,0.483,0.131,0.141,0.227,0.463,0.667,0.600,,,,,,,,,179
Buffalo,13,South,0.459,0.382,0.159,1.066,0.353,0.436,0.509,0.673,0.286,78.267,0.954,2.909,0.572,0.298,0.704,0.184,0.380,0.278,0.070,0.509,0.077,0.157,0.197,0.462,1.000,0.545,,,,,,,,,145
Charleston,13,Midwest,0.443,0.323,0.234,1.053,0.333,0.404,0.479,0.739,0.397,70.036,0.936,1.000,0.531,0.228,0.724,0.168,0.341,0.327,0.074,0.458,0.086,0.168,0.206,0.306,0.500,0.700,,,,,,,,,240
SF Austin,14,East,0.532,0.274,0.194,1.085,0.373,0.309,0.509,0.706,0.348,73.104,0.945,9.889,0.555,0.323,0.722,0.193,0.389,0.402,0.048,0.546,0.154,0.176,0.287,0.573,0.667,0.778,,,,,,,,,328
Montana,14,West,0.570,0.222,0.208,1.021,0.270,0.327,0.472,0.700,0.355,72.570,0.968,7.400,0.583,0.365,0.751,0.201,0.369,0.276,0.092,0.503,0.103,0.138,0.232,0.491,0.500,0.500,,,,,,,,,246
Wright State,14,South,0.522,0.265,0.212,1.009,0.311,0.339,0.469,0.664,0.381,71.735,0.924,3.364,0.508,0.270,0.765,0.201,0.356,0.370,0.033,0.502,0.094,0.176,0.226,0.293,0.667,0.545,,,,,,,,,234
Bucknell,14,Midwest,0.481,0.310,0.209,1.150,0.362,0.390,0.540,0.719,0.398,76.218,0.940,-1.692,0.602,0.229,0.719,0.156,0.354,0.315,0.048,0.525,0.063,0.180,0.157,0.401,0.500,0.462,,,,,,,,,175
CS Fullerton,15,East,0.492,0.240,0.268,1.117,0.354,0.316,0.512,0.707,0.531,74.085,0.861,-4.556,0.573,0.235,0.719,0.231,0.344,0.355,0.061,0.506,0.090,0.193,0.199,0.376,1.000,0.556,,,,,,,,,211
Lipscomb,15,West,0.479,0.281,0.241,1.053,0.309,0.383,0.480,0.723,0.420,79.059,0.878,-0.091,0.558,0.245,0.775,0.227,0.268,0.371,0.062,0.486,0.079,0.158,0.215,0.444,1.000,0.636,,,,,,,,,169
Georgia State,15,South,0.481,0.357,0.163,1.095,0.387,0.384,0.523,0.681,0.299,69.810,0.918,1.273,0.544,0.216,0.709,0.176,0.336,0.477,0.075,0.467,0.117,0.178,0.233,0.422,0.250,0.636,,,,,,,,,258
Iona,15,Midwest,0.436,0.421,0.143,1.131,0.388,0.455,0.539,0.760,0.236,71.629,0.938,-1.500,0.559,0.241,0.694,0.166,0.356,0.348,0.047,0.516,0.087,0.205,0.177,0.313,0.500,0.500,,,,,,,,,176
Radford,16,East,0.488,0.337,0.176,1.009,0.329,0.389,0.471,0.722,0.278,68.492,0.951,0.364,0.512,0.270,0.711,0.177,0.322,0.390,0.064,0.495,0.076,0.188,0.183,0.344,0.500,0.455,,,,,,,,,193
Texas Southern,16,West,0.481,0.335,0.184,1.013,0.340,0.379,0.471,0.724,0.293,74.890,0.926,-5.692,0.502,0.224,0.661,0.179,0.372,0.400,0.057,0.546,0.073,0.262,0.152,0.335,0.000,0.000,,,,,,,,,109
UMBC,16,South,0.353,0.469,0.178,1.118,0.431,0.471,0.534,0.678,0.341,73.315,0.963,2.273,0.492,0.285,0.703,0.172,0.391,0.416,0.034,0.567,0.087,0.211,0.193,0.296,0.667,0.545,,,,,,,,,168
Penn,16,Midwest,0.490,0.344,0.165,1.048,0.345,0.403,0.506,0.611,0.328,77.249,0.936,1.545,0.547,0.238,0.786,0.175,0.308,0.326,0.047,0.488,0.074,0.146,0.178,0.389,0.750,0.636,,,,,,,,,254
