Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Gonzaga,1,West,0.583,0.238,0.179,1.266,0.365,0.323,0.610,0.727,0.366,76.682,0.949,4.192,0.686,0.283,0.791,0.158,0.325,0.345,0.047,0.475,0.108,0.149,0.199,0.259,1.000,1.000,8,0,6,0,5,0,7,0,72
Michigan,1,East,0.532,0.297,0.170,1.164,0.387,0.339,0.549,0.777,0.289,69.388,0.957,-0.208,0.573,0.276,0.784,0.160,0.335,0.327,0.071,0.449,0.064,0.146,0.148,0.245,0.667,0.833,8,3,6,1,4,0,2,0,15
Baylor,1,South,0.492,0.367,0.141,1.186,0.418,0.392,0.575,0.697,0.270,71.984,0.985,6.958,0.601,0.360,0.707,0.172,0.340,0.343,0.068,0.491,0.124,0.172,0.241,0.317,1.000,0.917,8,2,2,0,7,0,5,0,43
Illinois,1,Midwest,0.559,0.248,0.193,1.167,0.374,0.306,0.558,0.688,0.388,73.596,0.946,0.643,0.614,0.311,0.799,0.181,0.327,0.328,0.047,0.464,0.078,0.150,0.159,0.299,0.667,0.786,12,5,5,1,4,0,2,0,5
Iowa,2,West,0.478,0.350,0.173,1.146,0.386,0.399,0.546,0.713,0.320,72.469,1.009,1.931,0.570,0.298,0.730,0.131,0.348,0.396,0.070,0.483,0.077,0.220,0.160,0.226,0.500,0.724,8,6,5,2,3,0,5,0,16
Alabama,2,East,0.427,0.401,0.172,1.087,0.352,0.471,0.513,0.723,0.295,77.315,0.949,2.448,0.583,0.293,0.725,0.183,0.284,0.335,0.069,0.452,0.114,0.143,0.210,0.325,0.667,0.793,8,4,9,1,7,1,0,0,30
Ohio State,2,South,0.468,0.321,0.211,1.147,0.367,0.394,0.532,0.765,0.372,69.441,0.969,0.069,0.566,0.276,0.757,0.151,0.339,0.382,0.059,0.487,0.065,0.197,0.147,0.332,0.500,0.724,9,7,6,2,4,0,2,0,9
Houston,2,Midwest,0.454,0.358,0.188,1.086,0.350,0.426,0.508,0.741,0.316,67.965,1.029,8.920,0.532,0.396,0.768,0.161,0.288,0.369,0.092,0.434,0.115,0.146,0.212,0.434,0.500,0.880,2,1,6,1,10,1,5,0,99
Kansas,3,West,0.520,0.300,0.180,1.059,0.337,0.360,0.497,0.714,0.305,70.931,0.970,3.407,0.534,0.301,0.748,0.174,0.325,0.375,0.069,0.470,0.095,0.158,0.197,0.265,0.750,0.704,7,8,2,0,5,0,5,0,31
Texas,3,East,0.469,0.345,0.186,1.118,0.357,0.419,0.529,0.708,0.341,72.102,0.935,-0.654,0.580,0.305,0.752,0.197,0.323,0.334,0.067,0.467,0.091,0.138,0.175,0.367,0.692,0.731,8,6,2,1,5,0,4,0,23
Arkansas,3,South,0.524,0.286,0.189,1.101,0.339,0.358,0.515,0.737,0.327,77.082,0.967,4.357,0.569,0.305,0.756,0.171,0.326,0.376,0.084,0.476,0.105,0.153,0.199,0.293,0.600,0.786,6,5,6,1,5,0,5,0,56
West Virginia,3,Midwest,0.494,0.282,0.225,1.059,0.357,0.331,0.487,0.717,0.394,73.049,0.996,4.519,0.495,0.340,0.695,0.166,0.323,0.372,0.048,0.502,0.102,0.189,0.203,0.285,0.385,0.667,7,7,3,2,6,0,2,0,26
Virginia,4,West,0.491,0.372,0.138,1.178,0.381,0.423,0.561,0.817,0.220,62.369,0.938,-0.458,0.599,0.211,0.803,0.151,0.340,0.372,0.082,0.479,0.079,0.186,0.149,0.246,0.500,0.750,5,4,4,1,5,1,4,0,60
Florida State,4,East,0.506,0.313,0.181,1.150,0.390,0.355,0.544,0.738,0.327,72.662,0.947,0.318,0.563,0.347,0.713,0.197,0.333,0.400,0.088,0.465,0.102,0.159,0.191,0.363,0.667,0.727,3,4,7,1,2,1,4,0,39
Purdue,4,South,0.518,0.300,0.182,1.090,0.335,0.375,0.514,0.711,0.322,68.235,0.958,1.074,0.577,0.313,0.770,0.184,0.315,0.457,0.061,0.486,0.076,0.206,0.167,0.303,0.556,0.667,6,7,7,1,3,1,2,0,13
Oklahoma State,4,Midwest,0.552,0.249,0.199,1.110,0.338,0.319,0.521,0.713,0.363,76.259,0.913,-2.179,0.589,0.297,0.723,0.209,0.319,0.372,0.070,0.471,0.096,0.165,0.188,0.305,0.667,0.714,10,6,2,0,3,2,5,0,20
Creighton,5,West,0.487,0.379,0.134,1.141,0.367,0.443,0.557,0.642,0.269,71.844,0.941,-0.679,0.616,0.221,0.742,0.155,0.321,0.390,0.058,0.469,0.098,0.177,0.174,0.257,0.600,0.714,7,3,5,3,4,2,4,0,55
Colorado,5,East,0.502,0.307,0.191,1.126,0.367,0.359,0.520,0.822,0.299,67.879,0.955,2.867,0.547,0.280,0.767,0.164,0.333,0.348,0.051,0.477,0.078,0.162,0.193,0.280,0.444,0.733,3,4,7,1,9,3,3,0,63
Villanova,5,South,0.455,0.366,0.179,1.127,0.352,0.446,0.529,0.765,0.301,68.260,0.983,4.909,0.580,0.253,0.781,0.133,0.353,0.407,0.026,0.518,0.078,0.176,0.185,0.258,0.500,0.727,5,3,4,3,6,0,1,0,47
Tennessee,5,Midwest,0.518,0.275,0.207,1.084,0.338,0.343,0.501,0.746,0.351,70.582,0.956,4.654,0.535,0.302,0.746,0.177,0.318,0.381,0.089,0.459,0.102,0.141,0.223,0.311,0.400,0.692,6,6,2,2,6,0,4,0,57
USC,6,West,0.558,0.253,0.189,1.091,0.348,0.312,0.521,0.647,0.375,70.439,0.972,1.552,0.561,0.332,0.754,0.177,0.342,0.353,0.088,0.454,0.068,0.177,0.170,0.248,0.400,0.759,3,4,6,3,10,0,3,0,48
BYU,6,East,0.511,0.333,0.157,1.153,0.373,0.388,0.550,0.736,0.278,72.900,0.928,-1.120,0.576,0.277,0.796,0.187,0.324,0.348,0.047,0.466,0.064,0.159,0.156,0.294,0.500,0.760,3,4,5,2,6,0,5,0,78
Texas Tech,6,South,0.525,0.256,0.219,1.073,0.346,0.313,0.497,0.711,0.393,69.201,0.991,7.407,0.525,0.322,0.733,0.158,0.350,0.386,0.077,0.478,0.105,0.140,0.232,0.365,0.444,0.630,4,10,2,0,3,0,8,0,45
San Diego State,6,Midwest,0.469,0.341,0.189,1.119,0.375,0.395,0.527,0.719,0.343,68.957,0.954,5.308,0.550,0.273,0.783,0.165,0.329,0.454,0.054,0.467,0.118,0.180,0.219,0.327,0.714,0.846,1,3,7,1,8,0,6,0,115
Oregon,7,West,0.514,0.338,0.148,1.132,0.379,0.380,0.544,0.704,0.268,69.029,0.954,3.077,0.571,0.271,0.749,0.165,0.336,0.393,0.065,0.501,0.108,0.191,0.200,0.271,0.833,0.769,2,3,7,1,7,2,4,0,61
UConn,7,East,0.543,0.278,0.179,1.058,0.336,0.333,0.495,0.731,0.296,68.981,0.995,4.636,0.525,0.360,0.744,0.170,0.316,0.330,0.097,0.462,0.090,0.151,0.190,0.369,0.250,0.682,4,4,3,3,5,0,3,0,53
Florida,7,South,0.527,0.277,0.196,1.125,0.357,0.338,0.525,0.757,0.338,72.365,0.915,-1.391,0.573,0.292,0.701,0.202,0.305,0.353,0.093,0.475,0.101,0.176,0.201,0.348,0.600,0.609,5,5,3,3,5,1,1,0,27
Clemson,7,Midwest,0.465,0.383,0.152,1.069,0.346,0.439,0.504,0.765,0.236,66.503,0.921,1.478,0.545,0.249,0.755,0.191,0.337,0.406,0.055,0.487,0.092,0.169,0.212,0.296,0.800,0.696,3,6,7,0,5,1,1,0,34
Oklahoma,8,West,0.503,0.321,0.176,1.082,0.338,0.390,0.508,0.744,0.291,71.487,0.967,2.160,0.554,0.259,0.742,0.155,0.354,0.381,0.057,0.489,0.103,0.167,0.184,0.228,0.417,0.600,5,9,0,0,4,1,6,0,36
LSU,8,East,0.509,0.295,0.196,1.134,0.349,0.371,0.531,0.747,0.347,74.557,0.974,0.077,0.586,0.301,0.683,0.161,0.299,0.442,0.042,0.484,0.109,0.182,0.183,0.302,0.500,0.692,5,8,3,1,6,0,4,0,22
North Carolina,8,South,0.584,0.222,0.193,1.032,0.317,0.282,0.485,0.668,0.349,73.755,0.989,5.179,0.543,0.400,0.767,0.200,0.344,0.382,0.079,0.487,0.098,0.175,0.188,0.271,0.444,0.643,3,9,8,0,4,1,3,0,21
Loyola-Chicago,8,Midwest,0.541,0.293,0.166,1.180,0.357,0.370,0.563,0.733,0.307,65.022,0.917,2.731,0.634,0.240,0.807,0.182,0.325,0.344,0.045,0.467,0.109,0.146,0.212,0.224,0.250,0.846,2,2,4,2,4,0,12,0,128
Missouri,9,West,0.514,0.282,0.204,1.086,0.320,0.375,0.509,0.698,0.375,72.754,0.935,-0.440,0.593,0.274,0.733,0.185,0.328,0.329,0.060,0.485,0.092,0.155,0.180,0.364,0.875,0.640,7,6,2,3,6,0,1,0,18
St. Bonaventure,9,East,0.558,0.276,0.165,1.075,0.350,0.319,0.507,0.729,0.276,66.595,0.981,2.684,0.541,0.319,0.731,0.167,0.305,0.437,0.070,0.454,0.092,0.188,0.194,0.278,0.600,0.789,4,2,3,1,5,1,4,0,89
Wisconsin,9,South,0.459,0.368,0.173,1.060,0.360,0.408,0.494,0.767,0.269,67.805,0.966,2.483,0.520,0.207,0.774,0.132,0.330,0.342,0.068,0.479,0.086,0.183,0.174,0.285,0.167,0.586,5,10,5,2,4,0,3,0,4
Georgia Tech,9,Midwest,0.536,0.300,0.164,1.131,0.349,0.369,0.538,0.727,0.290,71.065,0.940,3.120,0.594,0.227,0.715,0.156,0.366,0.347,0.061,0.522,0.129,0.197,0.223,0.289,0.625,0.680,3,6,6,0,5,2,3,0,50
VCU,10,West,0.528,0.270,0.202,1.102,0.329,0.350,0.511,0.761,0.339,72.523,0.909,1.320,0.568,0.274,0.720,0.205,0.301,0.353,0.097,0.458,0.130,0.160,0.235,0.356,0.750,0.760,2,5,7,0,6,2,4,0,84
Maryland,10,East,0.470,0.351,0.179,1.109,0.349,0.430,0.526,0.702,0.326,66.505,0.922,-1.893,0.579,0.196,0.760,0.166,0.343,0.418,0.060,0.485,0.076,0.184,0.166,0.256,0.333,0.536,4,10,3,3,6,0,2,0,14
Virginia Tech,10,South,0.477,0.343,0.181,1.106,0.357,0.410,0.525,0.697,0.332,68.957,0.945,1.524,0.575,0.259,0.791,0.169,0.330,0.393,0.071,0.483,0.069,0.157,0.171,0.308,0.750,0.714,2,3,3,3,5,0,5,0,76
Rutgers,10,Midwest,0.593,0.259,0.148,1.041,0.311,0.327,0.502,0.632,0.277,70.412,0.958,1.269,0.565,0.256,0.736,0.161,0.321,0.356,0.091,0.477,0.111,0.192,0.185,0.332,0.800,0.577,4,9,6,2,3,0,2,0,2
Drake,11,West,0.588,0.271,0.141,1.134,0.366,0.313,0.545,0.711,0.252,68.173,0.980,3.963,0.585,0.291,0.769,0.149,0.308,0.359,0.051,0.484,0.101,0.158,0.184,0.297,1.000,0.852,1,2,5,0,6,2,11,0,160
UCLA,11,East,0.542,0.274,0.184,1.104,0.367,0.317,0.520,0.721,0.326,68.561,0.965,2.808,0.545,0.290,0.784,0.163,0.351,0.390,0.047,0.507,0.074,0.177,0.173,0.280,0.727,0.654,2,6,3,3,8,0,4,0,28
Utah State,11,South,0.555,0.271,0.175,1.060,0.337,0.324,0.498,0.718,0.294,70.697,0.969,5.148,0.543,0.346,0.807,0.193,0.330,0.402,0.087,0.456,0.093,0.160,0.194,0.261,0.400,0.704,2,5,2,1,7,2,8,0,111
Syracuse,11,Midwest,0.499,0.321,0.180,1.089,0.337,0.392,0.507,0.784,0.284,72.031,0.972,2.000,0.557,0.281,0.689,0.155,0.317,0.439,0.081,0.485,0.121,0.242,0.202,0.251,0.667,0.640,1,7,6,1,6,1,3,0,41
UCSB,12,West,0.507,0.252,0.196,1.190,0.347,0.337,0.528,0.767,0.356,67.260,0.947,3.625,0.568,0.260,0.776,0.161,0.334,0.309,0.048,0.477,0.106,0.153,0.202,0.280,0.667,0.833,0,0,2,4,8,0,10,0,186
Georgetown,12,East,0.463,0.350,0.187,1.066,0.366,0.388,0.496,0.754,0.303,72.347,0.924,-3.040,0.501,0.295,0.749,0.212,0.326,0.397,0.062,0.480,0.082,0.201,0.158,0.259,0.600,0.520,3,9,5,1,4,2,1,0,17
Winthrop,12,South,0.493,0.319,0.188,1.116,0.353,0.393,0.530,0.686,0.357,74.452,0.960,7.292,0.583,0.341,0.813,0.190,0.324,0.364,0.043,0.490,0.104,0.139,0.219,0.338,0.800,0.958,0,0,2,0,2,0,19,1,307
Oregon State,12,Midwest,0.491,0.299,0.210,1.061,0.346,0.355,0.487,0.760,0.340,67.425,0.968,1.857,0.509,0.287,0.723,0.169,0.314,0.377,0.059,0.504,0.086,0.185,0.182,0.382,0.571,0.571,5,5,2,4,4,1,5,2,46
Ohio,13,West,0.521,0.321,0.158,1.161,0.366,0.387,0.558,0.706,0.296,73.032,0.950,2.591,0.603,0.278,0.742,0.167,0.337,0.399,0.034,0.511,0.091,0.187,0.196,0.302,0.667,0.682,0,2,3,2,4,3,8,0,119
UNC-Greensboro,13,East,0.545,0.311,0.144,1.013,0.300,0.389,0.482,0.683,0.238,72.166,1.005,7.483,0.539,0.317,0.763,0.152,0.319,0.421,0.071,0.481,0.104,0.157,0.206,0.364,0.500,0.724,0,1,4,1,9,4,8,2,191
North Texas,13,South,0.518,0.326,0.156,1.134,0.373,0.372,0.540,0.735,0.272,66.689,0.909,0.240,0.580,0.262,0.751,0.200,0.316,0.342,0.057,0.457,0.103,0.137,0.210,0.317,0.500,0.640,0,3,3,2,6,4,7,0,101
Liberty,13,Midwest,0.443,0.410,0.147,1.202,0.388,0.475,0.574,0.778,0.255,65.588,0.936,0.958,0.613,0.211,0.801,0.153,0.322,0.361,0.044,0.480,0.060,0.145,0.170,0.296,0.667,0.792,0,2,1,0,2,1,16,2,253
Eastern Washington,14,West,0.494,0.322,0.184,1.157,0.359,0.396,0.541,0.799,0.304,72.430,0.928,-1.773,0.577,0.221,0.758,0.163,0.316,0.354,0.045,0.475,0.067,0.154,0.163,0.277,0.000,0.682,0,3,0,1,4,1,11,2,185
Abilene Christian,14,East,0.499,0.320,0.181,1.113,0.377,0.365,0.529,0.688,0.340,72.954,0.941,7.000,0.565,0.298,0.746,0.191,0.291,0.340,0.058,0.454,0.128,0.138,0.262,0.425,0.667,0.826,0,2,0,0,4,1,15,1,222
Colgate,14,South,0.527,0.302,0.170,1.186,0.387,0.355,0.566,0.736,0.316,74.338,0.982,2.071,0.601,0.275,0.773,0.137,0.264,0.371,0.057,0.453,0.095,0.148,0.162,0.250,0.000,0.929,0,0,2,0,6,1,6,0,279
Morehead State,14,Midwest,0.526,0.278,0.195,1.097,0.347,0.345,0.519,0.683,0.368,68.945,0.904,-2.214,0.570,0.298,0.764,0.225,0.307,0.414,0.084,0.470,0.064,0.171,0.177,0.231,0.714,0.750,0,3,1,2,6,1,14,1,163
Grand Canyon,15,West,0.546,0.269,0.185,1.113,0.322,0.362,0.528,0.692,0.345,68.306,0.930,-0.950,0.589,0.307,0.791,0.199,0.297,0.393,0.049,0.447,0.060,0.146,0.161,0.294,0.333,0.700,0,1,0,0,2,2,12,3,225
Iona,15,East,0.482,0.310,0.208,1.102,0.355,0.376,0.512,0.743,0.361,71.438,0.911,-0.647,0.538,0.309,0.758,0.219,0.301,0.379,0.074,0.456,0.096,0.162,0.192,0.463,0.667,0.706,0,1,0,0,2,0,10,4,241
Oral Roberts,15,South,0.413,0.411,0.176,1.150,0.388,0.459,0.536,0.826,0.278,74.595,0.935,-2.000,0.548,0.207,0.696,0.153,0.356,0.320,0.065,0.504,0.083,0.166,0.177,0.331,0.500,0.565,0,5,0,0,4,3,9,2,121
Cleveland State,15,Midwest,0.558,0.268,0.174,1.065,0.319,0.343,0.507,0.669,0.320,70.745,0.945,0.077,0.561,0.281,0.697,0.182,0.308,0.424,0.044,0.488,0.099,0.179,0.198,0.372,0.857,0.731,1,3,0,1,0,0,18,3,184
Norfolk State,16,West,0.466,0.317,0.216,1.070,0.373,0.360,0.496,0.709,0.386,74.641,0.938,1.571,0.512,0.254,0.738,0.173,0.318,0.453,0.056,0.474,0.085,0.168,0.200,0.420,0.750,0.667,0,0,1,1,4,1,9,5,302
