Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Wichita State,11,South,0.484,0.300,0.216,1.068,0.330,0.383,0.494,0.717,0.380,68.704,0.997,9.000,0.540,0.301,0.800,0.141,0.322,0.371,0.072,0.441,0.105,0.134,0.222,0.455,0.143,0.750,,,,,,,,,103
Gonzaga,11,Midwest,0.509,0.294,0.198,1.178,0.377,0.358,0.553,0.760,0.359,70.050,0.965,-1.031,0.591,0.298,0.758,0.161,0.303,0.331,0.050,0.451,0.071,0.151,0.144,0.283,0.500,0.781,,,,,,,,,89
Chattanooga,12,East,0.471,0.300,0.229,1.120,0.361,0.371,0.518,0.733,0.420,69.399,0.962,2.750,0.565,0.313,0.735,0.176,0.330,0.363,0.085,0.498,0.106,0.175,0.198,0.308,1.000,0.844,,,,,,,,,239
Yale,12,West,0.531,0.258,0.211,1.109,0.371,0.308,0.525,0.667,0.421,69.011,0.972,3.444,0.563,0.381,0.790,0.196,0.318,0.344,0.083,0.463,0.081,0.162,0.176,0.338,0.500,0.778,,,,,,,,,105
South Dakota State,12,South,0.473,0.300,0.227,1.114,0.362,0.368,0.514,0.742,0.406,70.210,0.965,1.581,0.555,0.299,0.765,0.166,0.331,0.323,0.038,0.477,0.066,0.158,0.167,0.397,0.750,0.774,,,,,,,,,221
Little Rock,12,Midwest,0.505,0.315,0.180,1.113,0.387,0.347,0.524,0.734,0.313,65.838,0.962,2.935,0.535,0.259,0.735,0.154,0.301,0.400,0.060,0.451,0.096,0.158,0.208,0.383,0.714,0.871,,,,,,,,,152
Stony Brook,13,East,0.573,0.257,0.170,1.110,0.375,0.293,0.532,0.668,0.325,69.180,0.987,3.967,0.554,0.340,0.766,0.168,0.342,0.349,0.080,0.473,0.085,0.162,0.181,0.276,0.667,0.800,,,,,,,,,214
UNC-W,13,West,0.535,0.268,0.198,1.091,0.341,0.334,0.512,0.704,0.359,72.950,0.982,3.667,0.556,0.297,0.722,0.157,0.341,0.286,0.077,0.471,0.095,0.148,0.197,0.543,0.615,0.767,,,,,,,,,176
Hawaii,13,South,0.482,0.285,0.232,1.120,0.328,0.396,0.525,0.686,0.463,72.855,0.946,2.000,0.591,0.294,0.754,0.178,0.313,0.336,0.069,0.449,0.106,0.151,0.195,0.393,0.667,0.833,,,,,,,,,163
Iona,13,Midwest,0.446,0.377,0.177,1.133,0.372,0.442,0.538,0.712,0.325,74.167,0.954,0.688,0.571,0.283,0.712,0.172,0.355,0.361,0.068,0.485,0.102,0.183,0.190,0.362,0.200,0.688,,,,,,,,,138
SF Austin,14,East,0.515,0.300,0.185,1.174,0.375,0.364,0.555,0.744,0.339,70.480,0.961,7.143,0.593,0.329,0.728,0.177,0.332,0.306,0.065,0.496,0.119,0.168,0.254,0.401,0.667,0.821,,,,,,,,,275
Green Bay,14,West,0.527,0.256,0.218,1.062,0.350,0.310,0.499,0.657,0.422,79.589,0.989,5.485,0.544,0.298,0.708,0.151,0.363,0.339,0.073,0.512,0.117,0.179,0.204,0.354,0.500,0.636,,,,,,,,,134
Buffalo,14,South,0.482,0.288,0.230,1.075,0.335,0.370,0.496,0.709,0.417,74.698,0.956,0.788,0.539,0.308,0.739,0.185,0.344,0.359,0.058,0.498,0.090,0.179,0.172,0.371,0.571,0.576,,,,,,,,,111
Fresno State,14,Midwest,0.532,0.253,0.216,1.041,0.343,0.302,0.482,0.696,0.381,72.774,0.991,5.219,0.507,0.283,0.732,0.145,0.329,0.393,0.067,0.485,0.112,0.170,0.203,0.464,0.800,0.719,,,,,,,,,110
Weber State,15,East,0.455,0.322,0.223,1.157,0.360,0.421,0.549,0.677,0.466,70.556,0.915,-3.677,0.583,0.255,0.765,0.195,0.352,0.274,0.055,0.472,0.066,0.150,0.152,0.288,0.571,0.742,,,,,,,,,318
CSU Bakersfield,15,West,0.571,0.226,0.203,1.046,0.346,0.270,0.493,0.651,0.385,70.284,0.978,4.414,0.525,0.332,0.731,0.176,0.326,0.331,0.094,0.447,0.110,0.143,0.212,0.420,0.400,0.724,,,,,,,,,285
UNC-Asheville,15,South,0.546,0.225,0.230,1.078,0.322,0.301,0.499,0.701,0.424,73.320,0.948,3.774,0.539,0.292,0.741,0.180,0.288,0.355,0.056,0.487,0.126,0.150,0.216,0.334,0.182,0.645,,,,,,,,,249
Middle Tennessee,15,Midwest,0.495,0.332,0.173,1.071,0.389,0.357,0.518,0.607,0.357,70.766,0.958,2.742,0.521,0.268,0.765,0.168,0.341,0.338,0.064,0.485,0.088,0.162,0.191,0.428,0.800,0.710,,,,,,,,,185
Florida Gulf Coast,16,East,0.609,0.203,0.188,1.081,0.346,0.249,0.517,0.642,0.371,73.344,0.963,0.000,0.555,0.295,0.750,0.168,0.311,0.366,0.067,0.477,0.084,0.166,0.156,0.357,0.600,0.567,,,,,,,,,301
Holy Cross,16,West,0.465,0.328,0.207,1.032,0.327,0.404,0.479,0.693,0.361,67.327,0.936,0.909,0.520,0.211,0.722,0.162,0.365,0.412,0.047,0.532,0.096,0.214,0.195,0.338,0.571,0.424,,,,,,,,,260
Austin Peay,16,South,0.518,0.249,0.232,1.099,0.349,0.320,0.515,0.670,0.465,72.445,0.937,-0.667,0.553,0.302,0.712,0.200,0.364,0.400,0.046,0.536,0.095,0.202,0.184,0.310,0.600,0.485,,,,,,,,,224
Hampton,16,Midwest,0.510,0.264,0.225,1.015,0.309,0.347,0.472,0.654,0.420,75.277,0.973,1.667,0.529,0.329,0.742,0.184,0.332,0.326,0.061,0.480,0.070,0.142,0.165,0.364,0.727,0.667,,,,,,,,,279
