Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Duke,1,East,0.557,0.261,0.182,1.122,0.302,0.376,0.534,0.690,0.346,75.576,0.986,3.500,0.634,0.352,0.729,0.174,0.293,0.347,0.107,0.446,0.125,0.163,0.194,0.240,0.625,0.853,,,,,,,,,6
Gonzaga,1,West,0.549,0.263,0.188,1.254,0.365,0.353,0.596,0.767,0.360,73.285,0.975,3.303,0.655,0.297,0.766,0.141,0.309,0.346,0.088,0.442,0.103,0.134,0.185,0.251,0.667,0.909,,,,,,,,,74
Virginia,1,South,0.478,0.354,0.169,1.172,0.409,0.386,0.557,0.746,0.303,62.747,0.978,2.094,0.569,0.281,0.767,0.144,0.272,0.409,0.073,0.435,0.090,0.139,0.175,0.279,0.750,0.906,,,,,,,,,11
North Carolina,1,Midwest,0.517,0.305,0.178,1.122,0.365,0.359,0.529,0.742,0.309,77.971,0.976,4.303,0.583,0.328,0.784,0.168,0.329,0.425,0.057,0.483,0.092,0.181,0.181,0.289,0.500,0.818,,,,,,,,,5
Michigan State,2,East,0.494,0.316,0.190,1.182,0.384,0.378,0.558,0.750,0.350,70.698,0.954,-1.588,0.597,0.327,0.768,0.182,0.317,0.371,0.089,0.437,0.074,0.175,0.145,0.277,0.286,0.824,,,,,,,,,1
Michigan,2,West,0.503,0.344,0.153,1.090,0.350,0.402,0.521,0.698,0.270,66.765,0.968,2.147,0.574,0.217,0.767,0.131,0.289,0.291,0.075,0.441,0.092,0.152,0.179,0.249,0.667,0.824,,,,,,,,,17
Tennessee,2,South,0.558,0.254,0.188,1.175,0.362,0.318,0.553,0.767,0.334,71.737,0.971,0.970,0.595,0.305,0.722,0.156,0.344,0.398,0.089,0.474,0.082,0.175,0.178,0.344,0.714,0.849,,,,,,,,,31
Kentucky,2,Midwest,0.536,0.236,0.228,1.148,0.364,0.298,0.533,0.740,0.425,69.456,0.965,2.000,0.571,0.347,0.761,0.182,0.350,0.383,0.088,0.470,0.087,0.162,0.181,0.271,0.500,0.818,,,,,,,,,18
LSU,3,East,0.532,0.252,0.215,1.119,0.323,0.343,0.517,0.754,0.377,73.871,0.990,5.063,0.576,0.368,0.723,0.179,0.341,0.391,0.073,0.502,0.123,0.151,0.203,0.342,0.667,0.813,,,,,,,,,39
Texas Tech,3,West,0.517,0.298,0.185,1.137,0.368,0.355,0.537,0.728,0.335,69.268,0.936,2.875,0.568,0.280,0.740,0.179,0.302,0.396,0.092,0.428,0.105,0.138,0.226,0.376,0.600,0.813,,,,,,,,,22
Purdue,3,South,0.448,0.383,0.169,1.114,0.364,0.445,0.527,0.732,0.294,68.284,1.001,5.594,0.578,0.341,0.756,0.156,0.344,0.430,0.074,0.495,0.095,0.185,0.191,0.327,0.500,0.719,,,,,,,,,3
Houston,3,Midwest,0.458,0.365,0.177,1.100,0.359,0.429,0.521,0.702,0.319,69.340,0.993,3.824,0.545,0.337,0.767,0.164,0.276,0.411,0.081,0.424,0.093,0.147,0.177,0.376,0.667,0.912,,,,,,,,,76
Virginia Tech,4,East,0.437,0.389,0.174,1.189,0.394,0.450,0.564,0.758,0.315,66.065,0.942,2.469,0.601,0.276,0.740,0.172,0.332,0.501,0.044,0.489,0.101,0.184,0.213,0.264,0.500,0.750,,,,,,,,,37
Florida State,4,West,0.490,0.300,0.210,1.095,0.336,0.383,0.507,0.741,0.363,71.866,0.955,3.618,0.556,0.322,0.767,0.188,0.326,0.388,0.077,0.473,0.097,0.140,0.199,0.361,0.714,0.794,,,,,,,,,19
Kansas State,4,South,0.507,0.322,0.171,1.042,0.336,0.382,0.495,0.664,0.307,66.208,0.951,4.515,0.535,0.263,0.762,0.170,0.312,0.428,0.045,0.481,0.115,0.175,0.224,0.305,0.667,0.758,,,,,,,,,32
