Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Kansas,4,Midwest,0.532,0.288,0.180,1.104,0.350,0.350,0.523,0.697,0.329,72.368,0.948,-0.471,0.574,0.284,0.732,0.180,0.336,0.415,0.064,0.478,0.095,0.182,0.178,0.277,0.800,0.735,,,,,,,,,2
Mississippi State,5,East,0.491,0.334,0.175,1.147,0.378,0.390,0.546,0.715,0.323,70.469,0.955,1.485,0.594,0.334,0.720,0.189,0.353,0.362,0.087,0.501,0.115,0.178,0.193,0.317,0.364,0.697,,,,,,,,,30
Marquette,5,West,0.435,0.364,0.201,1.156,0.393,0.417,0.541,0.759,0.359,73.075,0.921,-2.182,0.554,0.268,0.768,0.189,0.319,0.357,0.072,0.459,0.066,0.164,0.162,0.357,0.700,0.727,,,,,,,,,59
Wisconsin,5,South,0.543,0.309,0.147,1.069,0.366,0.341,0.515,0.649,0.275,67.481,0.965,1.091,0.558,0.227,0.760,0.141,0.312,0.351,0.073,0.448,0.076,0.153,0.168,0.259,0.600,0.697,,,,,,,,,4
Auburn,5,Midwest,0.396,0.434,0.170,1.138,0.381,0.496,0.542,0.716,0.310,71.009,0.973,6.794,0.583,0.312,0.698,0.171,0.356,0.441,0.089,0.518,0.131,0.169,0.247,0.366,0.600,0.735,,,,,,,,,20
Maryland,6,East,0.504,0.305,0.191,1.111,0.353,0.370,0.519,0.748,0.329,67.765,0.945,-2.125,0.569,0.320,0.771,0.194,0.319,0.394,0.080,0.459,0.064,0.178,0.140,0.265,0.571,0.688,,,,,,,,,24
Buffalo,6,West,0.485,0.343,0.172,1.119,0.336,0.439,0.534,0.688,0.322,76.472,0.992,5.727,0.610,0.304,0.750,0.153,0.297,0.361,0.067,0.472,0.095,0.134,0.201,0.315,0.667,0.909,,,,,,,,,100
Villanova,6,South,0.378,0.428,0.194,1.134,0.353,0.535,0.534,0.727,0.353,67.463,0.976,2.382,0.591,0.303,0.755,0.162,0.335,0.393,0.054,0.499,0.080,0.202,0.172,0.286,0.500,0.735,,,,,,,,,52
Iowa State,6,Midwest,0.504,0.328,0.168,1.154,0.365,0.396,0.549,0.732,0.303,69.954,0.963,0.882,0.595,0.267,0.728,0.154,0.338,0.393,0.077,0.485,0.100,0.179,0.180,0.236,0.400,0.676,,,,,,,,,28
Louisville,7,East,0.441,0.348,0.211,1.105,0.342,0.437,0.509,0.775,0.351,71.005,0.950,-0.545,0.566,0.270,0.765,0.174,0.317,0.369,0.050,0.464,0.063,0.163,0.160,0.317,0.400,0.606,,,,,,,,,10
Nevada,7,West,0.461,0.329,0.210,1.148,0.351,0.427,0.541,0.708,0.407,72.605,0.969,4.121,0.593,0.249,0.787,0.141,0.334,0.399,0.067,0.476,0.085,0.172,0.188,0.276,0.667,0.879,,,,,,,,,121
Cincinnati,7,South,0.507,0.278,0.215,1.057,0.350,0.331,0.490,0.704,0.381,66.993,1.005,5.706,0.523,0.358,0.730,0.157,0.351,0.428,0.084,0.481,0.092,0.164,0.203,0.305,0.846,0.824,,,,,,,,,65
Wofford,7,Midwest,0.454,0.401,0.144,1.194,0.416,0.435,0.578,0.705,0.277,69.640,0.977,4.733,0.587,0.319,0.773,0.160,0.327,0.402,0.053,0.502,0.088,0.167,0.191,0.318,1.000,0.867,,,,,,,,,94
VCU,8,East,0.500,0.301,0.199,1.078,0.307,0.411,0.506,0.698,0.360,71.411,0.938,2.781,0.581,0.298,0.732,0.195,0.276,0.334,0.082,0.430,0.112,0.151,0.228,0.372,0.625,0.781,,,,,,,,,98
Syracuse,8,West,0.456,0.342,0.202,1.056,0.330,0.428,0.495,0.681,0.368,69.556,0.951,2.455,0.549,0.284,0.694,0.179,0.323,0.476,0.087,0.475,0.119,0.212,0.225,0.348,1.000,0.606,,,,,,,,,33
Ole Miss,8,South,0.486,0.324,0.190,1.137,0.358,0.395,0.530,0.783,0.317,71.443,0.936,1.906,0.583,0.280,0.735,0.177,0.372,0.349,0.064,0.506,0.102,0.194,0.204,0.332,0.500,0.625,,,,,,,,,50
Utah State,8,Midwest,0.498,0.299,0.202,1.159,0.357,0.380,0.543,0.748,0.367,72.178,0.951,2.212,0.602,0.295,0.817,0.174,0.349,0.400,0.074,0.462,0.084,0.158,0.166,0.341,0.571,0.818,,,,,,,,,115
UCF,9,East,0.496,0.283,0.221,1.109,0.354,0.361,0.527,0.645,0.464,69.338,0.945,-0.645,0.571,0.279,0.731,0.171,0.313,0.383,0.077,0.455,0.083,0.181,0.177,0.296,0.500,0.742,,,,,,,,,71
Baylor,9,West,0.490,0.332,0.177,1.072,0.340,0.404,0.509,0.674,0.326,68.521,0.977,2.438,0.579,0.366,0.732,0.193,0.341,0.377,0.086,0.486,0.089,0.187,0.181,0.365,0.500,0.594,,,,,,,,,27
Oklahoma,9,South,0.543,0.279,0.178,1.063,0.342,0.333,0.502,0.691,0.314,71.710,0.936,-1.594,0.548,0.236,0.738,0.170,0.333,0.410,0.050,0.471,0.083,0.173,0.170,0.241,0.571,0.594,,,,,,,,,7
Washington,9,Midwest,0.489,0.321,0.190,1.103,0.346,0.398,0.521,0.694,0.351,69.050,0.922,1.000,0.566,0.267,0.675,0.193,0.331,0.353,0.105,0.473,0.130,0.190,0.235,0.345,0.750,0.765,,,,,,,,,64
Minnesota,10,East,0.550,0.222,0.228,1.044,0.321,0.288,0.483,0.679,0.420,70.098,0.963,0.559,0.545,0.290,0.744,0.171,0.339,0.337,0.068,0.491,0.068,0.183,0.162,0.283,0.636,0.618,,,,,,,,,13
Florida,10,West,0.463,0.358,0.179,1.063,0.335,0.434,0.499,0.718,0.303,67.152,0.960,3.176,0.546,0.295,0.705,0.175,0.320,0.380,0.070,0.484,0.107,0.163,0.220,0.337,0.364,0.559,,,,,,,,,15
Iowa,10,South,0.461,0.310,0.229,1.136,0.361,0.390,0.526,0.740,0.423,72.057,0.956,0.667,0.559,0.285,0.721,0.169,0.326,0.414,0.055,0.516,0.086,0.220,0.182,0.288,0.625,0.667,,,,,,,,,25
Seton Hall,10,Midwest,0.518,0.284,0.198,1.069,0.324,0.364,0.499,0.708,0.348,72.710,0.954,2.333,0.575,0.276,0.736,0.171,0.336,0.398,0.067,0.493,0.096,0.183,0.195,0.326,0.529,0.606,,,,,,,,,38
Belmont,11,East,0.490,0.357,0.153,1.205,0.372,0.438,0.579,0.737,0.284,75.967,0.946,-0.548,0.663,0.236,0.767,0.152,0.346,0.345,0.060,0.487,0.087,0.161,0.161,0.274,1.000,0.839,,,,,,,,,147
Arizona State,11,West,0.497,0.280,0.223,1.084,0.341,0.357,0.508,0.671,0.436,75.284,0.955,2.531,0.557,0.303,0.765,0.180,0.336,0.435,0.055,0.486,0.083,0.176,0.185,0.386,0.600,0.688,,,,,,,,,70
Saint Mary's,11,South,0.525,0.305,0.170,1.140,0.378,0.350,0.540,0.745,0.297,65.881,0.969,2.030,0.578,0.292,0.785,0.160,0.318,0.314,0.047,0.486,0.091,0.154,0.161,0.294,0.000,0.667,,,,,,,,,77
Ohio State,11,Midwest,0.477,0.325,0.198,1.085,0.343,0.398,0.505,0.734,0.340,68.455,0.933,0.030,0.551,0.256,0.757,0.183,0.330,0.374,0.046,0.482,0.086,0.172,0.180,0.318,0.800,0.576,,,,,,,,,14
Liberty,12,East,0.499,0.349,0.153,1.179,0.367,0.420,0.561,0.779,0.260,66.522,0.927,1.774,0.623,0.233,0.767,0.168,0.329,0.371,0.047,0.487,0.093,0.154,0.203,0.324,0.500,0.806,,,,,,,,,204
Murray State,12,West,0.535,0.283,0.182,1.165,0.344,0.369,0.552,0.741,0.332,72.586,0.967,1.793,0.630,0.314,0.725,0.170,0.285,0.354,0.073,0.464,0.100,0.156,0.191,0.284,0.800,0.862,,,,,,,,,193
Oregon,12,South,0.503,0.323,0.174,1.095,0.343,0.393,0.517,0.719,0.303,68.066,0.950,2.943,0.564,0.281,0.754,0.173,0.294,0.452,0.080,0.468,0.114,0.175,0.204,0.353,0.286,0.657,,,,,,,,,66
New Mexico State,12,Midwest,0.463,0.362,0.175,1.128,0.341,0.464,0.540,0.673,0.341,68.850,0.998,6.438,0.601,0.368,0.792,0.175,0.331,0.391,0.046,0.487,0.080,0.123,0.190,0.324,0.800,0.875,,,,,,,,,270
Saint Louis,13,East,0.541,0.257,0.202,0.988,0.308,0.326,0.468,0.598,0.397,68.494,0.991,5.143,0.525,0.348,0.772,0.186,0.313,0.380,0.075,0.469,0.103,0.178,0.190,0.329,0.538,0.657,,,,,,,,,95
Vermont,13,West,0.470,0.324,0.207,1.127,0.353,0.404,0.524,0.753,0.363,67.388,0.953,3.688,0.569,0.262,0.802,0.163,0.353,0.382,0.073,0.490,0.080,0.159,0.191,0.263,1.000,0.813,,,,,,,,,220
UC Irvine,13,South,0.556,0.281,0.163,1.082,0.360,0.320,0.514,0.700,0.286,69.144,0.977,1.794,0.539,0.316,0.774,0.167,0.333,0.327,0.073,0.437,0.080,0.136,0.162,0.338,1.000,0.853,,,,,,,,,213
Northeastern,13,Midwest,0.432,0.385,0.184,1.206,0.388,0.463,0.572,0.751,0.343,68.357,0.925,-0.848,0.608,0.213,0.773,0.164,0.336,0.359,0.038,0.518,0.090,0.173,0.164,0.280,0.375,0.697,,,,,,,,,111
Yale,14,East,0.545,0.289,0.166,1.175,0.374,0.346,0.561,0.733,0.305,74.779,0.925,-2.714,0.607,0.248,0.776,0.178,0.312,0.382,0.069,0.472,0.076,0.170,0.149,0.306,0.750,0.750,,,,,,,,,152
Northern Kentucky,14,West,0.484,0.339,0.178,1.145,0.364,0.415,0.550,0.670,0.355,71.492,0.953,2.125,0.624,0.287,0.764,0.173,0.319,0.392,0.068,0.489,0.083,0.173,0.181,0.352,0.556,0.750,,,,,,,,,254
Old Dominion,14,South,0.487,0.344,0.170,1.008,0.353,0.373,0.477,0.660,0.295,67.135,0.982,3.971,0.479,0.315,0.783,0.175,0.325,0.401,0.085,0.456,0.083,0.166,0.181,0.324,0.714,0.765,,,,,,,,,235
Georgia State,14,Midwest,0.442,0.381,0.177,1.130,0.384,0.437,0.544,0.656,0.357,72.611,0.934,-0.250,0.574,0.219,0.687,0.162,0.330,0.457,0.078,0.501,0.108,0.205,0.207,0.313,0.818,0.719,,,,,,,,,122
Bradley,15,East,0.486,0.312,0.202,1.062,0.368,0.352,0.497,0.692,0.363,67.308,0.933,0.030,0.503,0.259,0.753,0.186,0.330,0.396,0.070,0.476,0.077,0.177,0.182,0.353,0.583,0.576,,,,,,,,,226
Montana,15,West,0.512,0.324,0.164,1.177,0.383,0.383,0.567,0.696,0.320,70.046,0.929,1.188,0.614,0.244,0.768,0.170,0.346,0.362,0.051,0.500,0.091,0.152,0.189,0.370,0.625,0.750,,,,,,,,,263
Colgate,15,South,0.478,0.361,0.161,1.171,0.391,0.410,0.559,0.743,0.289,69.755,0.930,-0.303,0.596,0.290,0.758,0.189,0.339,0.409,0.059,0.506,0.089,0.188,0.176,0.286,0.750,0.697,,,,,,,,,225
Abilene Christian,15,Midwest,0.505,0.303,0.192,1.115,0.383,0.342,0.524,0.723,0.345,68.283,0.948,4.690,0.542,0.266,0.741,0.171,0.335,0.334,0.050,0.496,0.117,0.161,0.230,0.384,0.625,0.793,,,,,,,,,347
North Dakota State,16,East,0.411,0.403,0.186,1.147,0.368,0.482,0.538,0.765,0.321,68.187,0.927,-2.065,0.581,0.189,0.772,0.156,0.366,0.357,0.043,0.536,0.070,0.181,0.144,0.262,0.625,0.516,,,,,,,,,165
Fairleigh Dickinson,16,West,0.493,0.314,0.193,1.162,0.405,0.351,0.548,0.741,0.354,70.735,0.917,-1.438,0.566,0.272,0.690,0.191,0.350,0.387,0.065,0.517,0.103,0.192,0.198,0.295,0.571,0.594,,,,,,,,,318
Gardner-Webb,16,South,0.490,0.307,0.204,1.161,0.377,0.373,0.548,0.716,0.392,71.600,0.918,-2.742,0.590,0.202,0.714,0.164,0.338,0.450,0.041,0.502,0.087,0.197,0.177,0.277,0.750,0.645,,,,,,,,,205
Iona,16,Midwest,0.450,0.344,0.206,1.135,0.351,0.436,0.530,0.741,0.371,72.865,0.932,-1.063,0.601,0.234,0.716,0.169,0.368,0.429,0.046,0.523,0.093,0.207,0.182,0.288,0.429,0.531,,,,,,,,,274
