Team,Seed,OFF. Eff.,DEF. Eff.,Efficiency Margin,% of Points from 2,% of Points from 3,% of Points from FT,True Shooting %,3P %,3P Rate,eFG,FT %,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO %,Opp. 3PT %,Opp. 3P Rate,Block %,Def. eFG %,Steals per Possession,Opp. Asst./Poss.,Opp. TO/poss.,Opp. FTA/FGA,Close Game Win %,Wins,Losses,Strength of Schedule 
UCLA,7,1.103,0.97,0.133,0.521,0.3,0.178,1.115,0.352,0.36,0.53,0.710,0.329,67.7,0.985,6.1,0.567,0.321,0.718,0.156,0.328,0.45,0.061,0.505,0.12,0.191,0.224,0.346,0.727,22,10,50
Marquette,7,1.092,0.973,0.119,0.478,0.37,0.152,1.092,0.325,0.463,0.521,0.720,0.261,70.4,0.997,5.9,0.599,0.281,0.716,0.132,0.317,0.394,0.065,0.499,0.127,0.209,0.209,0.302,0.667,23,10,15
St. Mary's,7,1.118,0.935,0.183,0.56,0.263,0.177,1.064,0.327,0.333,0.509,0.695,0.314,65.6,1.038,6.2,0.553,0.392,0.779,0.148,0.314,0.318,0.072,0.462,0.093,0.189,0.159,0.25,0.625,28,5,92
Kansas,7,1.064,0.967,0.097,0.565,0.293,0.141,1.108,0.352,0.343,0.531,0.716,0.243,71.6,0.959,-0.9,0.583,0.28,0.745,0.163,0.308,0.406,0.077,0.462,0.087,0.18,0.152,0.28,0.667,21,12,4
Mississippi State,8,1.106,1.028,0.078,0.505,0.32,0.175,1.096,0.314,0.423,0.517,0.701,0.316,72.1,1.008,4.9,0.608,0.323,0.726,0.147,0.358,0.44,0.077,0.519,0.127,0.187,0.185,0.354,0.6,21,12,16
Louisville,8,1.112,0.975,0.137,0.451,0.358,0.191,1.134,0.33,0.481,0.534,0.746,0.345,70.7,0.977,2.9,0.63,0.31,0.749,0.162,0.341,0.398,0.049,0.492,0.09,0.167,0.181,0.268,0.857,27,7,36
UCONN,8,1.15,1.011,0.139,0.486,0.333,0.181,1.171,0.354,0.426,0.555,0.791,0.306,67.3,0.982,1.8,0.623,0.346,0.762,0.167,0.35,0.342,0.115,0.483,0.081,0.149,0.153,0.4,0.5,23,10,42
Gonzaga,8,1.181,0.95,0.231,0.559,0.261,0.18,1.193,0.344,0.335,0.557,0.804,0.309,73.3,0.995,4.6,0.627,0.304,0.764,0.129,0.303,0.402,0.049,0.476,0.102,0.168,0.175,0.286,0,25,8,82
Baylor,9,1.107,1.021,0.086,0.488,0.33,0.182,1.093,0.347,0.402,0.515,0.748,0.31,68.2,1.005,3.9,0.57,0.335,0.706,0.158,0.359,0.414,0.048,0.512,0.108,0.215,0.182,0.335,0.364,19,14,14
Oklahoma,9,1.105,1.049,0.056,0.449,0.325,0.226,1.181,0.37,0.419,0.549,0.795,0.396,71.4,0.932,-1.7,0.604,0.251,0.697,0.169,0.303,0.42,0.039,0.511,0.109,0.172,0.178,0.358,0.5,20,13,48
Georgia,9,1.073,0.984,0.089,0.508,0.275,0.216,1.117,0.335,0.368,0.525,0.717,0.398,70.4,0.956,-0.5,0.591,0.341,0.703,0.184,0.316,0.404,0.086,0.472,0.11,0.173,0.175,0.304,0.571,20,12,57
Creighton,9,1.082,1,0.082,0.464,0.38,0.156,1.172,0.339,0.49,0.558,0.728,0.285,69.5,0.929,-6.2,0.678,0.254,0.746,0.177,0.326,0.353,0.068,0.47,0.052,0.167,0.114,0.169,0.75,24,10,22
Vanderbilt,10,1.104,1.037,0.067,0.498,0.308,0.194,1.105,0.325,0.402,0.517,0.746,0.34,72.1,0.993,5.2,0.605,0.297,0.723,0.144,0.366,0.377,0.07,0.529,0.125,0.168,0.194,0.39,0.875,20,12,58
Utah State,10,1.152,1.018,0.134,0.483,0.327,0.19,1.161,0.358,0.423,0.56,0.702,0.376,69.2,0.984,4.3,0.638,0.321,0.727,0.155,0.34,0.444,0.052,0.518,0.121,0.207,0.195,0.362,0.727,26,7,91
New Mexico,10,1.059,0.937,0.122,0.544,0.255,0.201,1.081,0.341,0.322,0.508,0.677,0.378,75.5,0.978,5.7,0.561,0.289,0.772,0.151,0.338,0.383,0.086,0.492,0.113,0.196,0.197,0.35,0.625,26,7,87
Arkansas,10,1.06,0.984,0.076,0.524,0.275,0.201,1.118,0.333,0.367,0.527,0.739,0.355,72.3,0.95,-1,0.583,0.25,0.72,0.161,0.314,0.389,0.091,0.483,0.104,0.169,0.168,0.294,0.546,20,13,43
Drake,11,1.11,0.965,0.145,0.502,0.281,0.217,1.144,0.35,0.368,0.538,0.700,0.43,61.9,0.965,5.3,0.585,0.359,0.769,0.182,0.312,0.386,0.052,0.517,0.141,0.164,0.214,0.358,0.714,30,3,142
Xavier,11,1.093,1.002,0.091,0.467,0.322,0.211,1.167,0.391,0.376,0.541,0.789,0.367,71.4,0.931,-0.1,0.577,0.209,0.764,0.153,0.344,0.374,0.043,0.51,0.108,0.201,0.172,0.286,0.444,22,12,49
UNC,11,1.107,1.024,0.083,0.512,0.296,0.192,1.15,0.356,0.372,0.541,0.741,0.348,73,0.96,-0.5,0.609,0.255,0.751,0.147,0.335,0.381,0.059,0.495,0.082,0.173,0.149,0.305,0.546,23,14,24
VCU,11,1.117,0.914,0.203,0.439,0.378,0.183,1.115,0.335,0.474,0.524,0.744,0.322,68.4,1.007,5.4,0.585,0.363,0.727,0.164,0.307,0.354,0.099,0.444,0.12,0.144,0.2,0.361,0.333,28,6,104
Colorado State,12,1.101,0.981,0.12,0.475,0.344,0.181,1.179,0.366,0.428,0.558,0.775,0.318,68.4,0.937,-1,0.616,0.247,0.757,0.17,0.332,0.38,0.049,0.485,0.075,0.162,0.164,0.336,0.833,25,9,83
UC San Diego,12,1.131,0.912,0.219,0.418,0.397,0.184,1.167,0.365,0.496,0.554,0.747,0.338,68.9,0.97,6,0.621,0.228,0.749,0.131,0.331,0.444,0.04,0.477,0.137,0.163,0.226,0.298,0.5,30,4,230
