Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
UConn,7,East,0.481,0.297,0.222,1.116,0.387,0.338,0.514,0.761,0.386,68.141,0.953,-0.676,0.524,0.296,0.688,0.171,0.329,0.316,0.107,0.439,0.100,0.169,0.189,0.355,0.727,0.765,,,,,,,,,27
Oregon,7,West,0.480,0.284,0.236,1.161,0.391,0.338,0.534,0.766,0.430,73.226,0.965,2.281,0.564,0.302,0.712,0.159,0.323,0.316,0.060,0.493,0.108,0.168,0.188,0.480,0.375,0.719,,,,,,,,,62
New Mexico,7,South,0.516,0.235,0.249,1.120,0.337,0.318,0.514,0.727,0.469,68.071,0.984,-0.485,0.560,0.318,0.734,0.156,0.344,0.351,0.087,0.449,0.071,0.168,0.146,0.312,0.667,0.818,,,,,,,,,94
Texas,7,Midwest,0.558,0.207,0.235,1.025,0.324,0.264,0.474,0.664,0.438,71.429,1.013,2.788,0.510,0.387,0.724,0.171,0.344,0.358,0.101,0.460,0.081,0.173,0.161,0.405,0.800,0.697,,,,,,,,,21
Memphis,8,East,0.589,0.210,0.200,1.095,0.336,0.272,0.521,0.653,0.400,72.899,0.966,1.806,0.582,0.347,0.690,0.184,0.309,0.295,0.080,0.481,0.118,0.182,0.200,0.337,0.600,0.710,,,,,,,,,55
Gonzaga,8,West,0.521,0.272,0.207,1.170,0.387,0.327,0.554,0.710,0.406,68.094,0.957,-0.212,0.589,0.293,0.729,0.165,0.318,0.316,0.070,0.444,0.098,0.151,0.174,0.383,0.714,0.818,,,,,,,,,98
Colorado,8,South,0.516,0.220,0.263,1.071,0.320,0.302,0.485,0.716,0.484,68.943,0.961,1.441,0.536,0.335,0.753,0.192,0.357,0.359,0.060,0.493,0.087,0.191,0.179,0.307,0.818,0.676,,,,,,,,,48
Kentucky,8,Midwest,0.529,0.201,0.270,1.084,0.325,0.281,0.497,0.683,0.537,69.280,1.014,2.647,0.543,0.418,0.727,0.177,0.317,0.294,0.108,0.450,0.069,0.150,0.159,0.378,0.200,0.706,,,,,,,,,4
George Washington,9,East,0.536,0.236,0.228,1.095,0.369,0.286,0.516,0.653,0.468,69.837,0.963,0.844,0.551,0.336,0.706,0.187,0.314,0.360,0.072,0.470,0.101,0.176,0.192,0.335,0.750,0.750,,,,,,,,,74
Oklahoma State,9,West,0.480,0.267,0.253,1.144,0.368,0.342,0.528,0.724,0.494,72.231,0.975,1.879,0.571,0.265,0.699,0.144,0.322,0.329,0.083,0.460,0.105,0.151,0.196,0.400,0.300,0.636,,,,,,,,,38
Pittsburgh,9,South,0.544,0.213,0.243,1.104,0.356,0.268,0.509,0.711,0.460,65.449,0.999,3.824,0.558,0.364,0.729,0.161,0.331,0.335,0.058,0.468,0.107,0.176,0.187,0.370,0.462,0.735,,,,,,,,,45
Kansas State,9,Midwest,0.525,0.260,0.215,1.046,0.334,0.323,0.490,0.658,0.408,68.120,0.978,1.063,0.538,0.331,0.687,0.181,0.294,0.312,0.055,0.454,0.091,0.171,0.184,0.455,0.625,0.625,,,,,,,,,42
Saint Joseph's,10,East,0.485,0.310,0.205,1.124,0.380,0.368,0.539,0.641,0.434,67.547,0.945,-1.667,0.560,0.283,0.750,0.183,0.337,0.343,0.080,0.476,0.066,0.200,0.150,0.306,0.750,0.727,,,,,,,,,77
BYU,10,West,0.572,0.185,0.243,1.099,0.373,0.222,0.510,0.688,0.476,76.641,0.997,2.636,0.543,0.333,0.730,0.150,0.341,0.351,0.048,0.490,0.093,0.190,0.163,0.360,0.571,0.667,,,,,,,,,89
Stanford,10,South,0.527,0.241,0.232,1.115,0.371,0.293,0.519,0.703,0.446,68.825,0.960,0.697,0.539,0.280,0.743,0.162,0.355,0.337,0.075,0.483,0.073,0.194,0.166,0.370,0.500,0.636,,,,,,,,,19
Arizona State,10,Midwest,0.457,0.325,0.218,1.115,0.386,0.375,0.523,0.694,0.420,71.829,0.940,-2.156,0.553,0.221,0.726,0.160,0.324,0.275,0.095,0.460,0.072,0.161,0.168,0.370,0.714,0.656,,,,,,,,,65
Providence,11,East,0.488,0.258,0.254,1.075,0.350,0.317,0.481,0.781,0.419,68.810,0.988,1.382,0.502,0.339,0.724,0.169,0.330,0.287,0.084,0.490,0.081,0.174,0.160,0.344,0.692,0.676,,,,,,,,,23
Nebraska,11,West,0.493,0.266,0.241,1.060,0.339,0.333,0.484,0.719,0.428,67.156,0.943,0.581,0.519,0.240,0.729,0.167,0.319,0.357,0.058,0.477,0.102,0.166,0.192,0.430,0.571,0.613,,,,,,,,,13
Dayton,11,South,0.520,0.269,0.211,1.114,0.378,0.316,0.526,0.681,0.413,67.812,0.965,2.030,0.574,0.324,0.730,0.177,0.344,0.321,0.050,0.494,0.086,0.177,0.186,0.432,0.600,0.697,,,,,,,,,76
Tennessee,11,Midwest,0.535,0.237,0.229,1.068,0.329,0.306,0.493,0.708,0.413,64.814,1.020,4.313,0.547,0.389,0.752,0.168,0.341,0.272,0.088,0.459,0.080,0.151,0.167,0.331,0.000,0.625,,,,,,,,,34
Harvard,12,East,0.514,0.237,0.250,1.136,0.390,0.282,0.523,0.727,0.479,67.456,0.961,4.000,0.552,0.313,0.748,0.171,0.327,0.307,0.096,0.461,0.110,0.162,0.209,0.366,0.667,0.862,,,,,,,,,147
North Dakota State,12,West,0.577,0.201,0.222,1.181,0.349,0.271,0.550,0.754,0.417,65.303,0.970,1.857,0.590,0.296,0.750,0.152,0.375,0.347,0.083,0.501,0.094,0.176,0.171,0.405,0.750,0.786,,,,,,,,,143
SF Austin,12,South,0.503,0.283,0.214,1.121,0.352,0.358,0.524,0.711,0.401,66.758,1.007,9.032,0.579,0.369,0.726,0.164,0.348,0.259,0.068,0.502,0.105,0.149,0.239,0.525,1.000,0.935,,,,,,,,,331
NC State,12,Midwest,0.617,0.189,0.194,1.058,0.302,0.258,0.500,0.663,0.362,67.232,0.997,0.657,0.562,0.329,0.662,0.153,0.315,0.307,0.074,0.473,0.070,0.166,0.171,0.427,0.600,0.629,,,,,,,,,32
Delaware,13,East,0.497,0.271,0.232,1.093,0.345,0.344,0.506,0.709,0.432,72.535,1.000,0.941,0.553,0.275,0.680,0.132,0.321,0.316,0.059,0.491,0.083,0.161,0.164,0.378,0.667,0.735,,,,,,,,,129
New Mexico State,13,West,0.539,0.201,0.260,1.148,0.362,0.268,0.535,0.686,0.548,69.217,0.976,-0.676,0.567,0.373,0.707,0.183,0.332,0.229,0.104,0.444,0.067,0.139,0.157,0.337,0.429,0.735,,,,,,,,,195
Tulsa,13,South,0.517,0.236,0.246,1.065,0.325,0.315,0.491,0.683,0.470,71.286,0.967,3.424,0.536,0.285,0.738,0.161,0.353,0.342,0.071,0.463,0.098,0.151,0.199,0.483,0.667,0.636,,,,,,,,,115
Manhattan,13,Midwest,0.485,0.248,0.267,1.095,0.367,0.313,0.508,0.662,0.558,74.196,0.954,2.469,0.557,0.326,0.697,0.191,0.327,0.279,0.110,0.456,0.112,0.160,0.212,0.525,0.583,0.781,,,,,,,,,168
North Carolina Central,14,East,0.523,0.209,0.268,1.108,0.326,0.294,0.503,0.726,0.509,67.164,0.975,4.710,0.575,0.327,0.696,0.169,0.303,0.361,0.076,0.434,0.114,0.142,0.233,0.453,0.667,0.839,,,,,,,,,300
Louisiana,14,West,0.505,0.272,0.223,1.101,0.374,0.323,0.519,0.665,0.449,74.361,0.974,2.097,0.578,0.350,0.705,0.187,0.330,0.301,0.068,0.501,0.094,0.157,0.183,0.441,0.636,0.645,,,,,,,,,155
Western Michigan,14,South,0.494,0.244,0.262,1.140,0.330,0.350,0.524,0.718,0.517,69.165,0.915,-3.194,0.598,0.298,0.703,0.205,0.312,0.386,0.061,0.473,0.083,0.179,0.181,0.348,0.778,0.710,,,,,,,,,164
Mercer,14,Midwest,0.476,0.321,0.203,1.150,0.390,0.371,0.540,0.735,0.373,70.099,0.957,0.548,0.563,0.302,0.711,0.173,0.305,0.364,0.073,0.465,0.087,0.168,0.185,0.416,0.714,0.742,,,,,,,,,218
Milwaukee,15,East,0.445,0.303,0.251,1.090,0.330,0.407,0.496,0.733,0.455,70.082,0.919,-2.000,0.563,0.259,0.706,0.195,0.316,0.324,0.043,0.492,0.080,0.169,0.181,0.369,0.625,0.606,,,,,,,,,149
American,15,West,0.522,0.298,0.180,1.177,0.382,0.357,0.562,0.710,0.349,62.404,0.877,-3.469,0.606,0.254,0.728,0.223,0.314,0.307,0.070,0.460,0.098,0.162,0.195,0.412,0.400,0.625,,,,,,,,,211
Eastern Kentucky,15,South,0.429,0.346,0.224,1.216,0.386,0.439,0.570,0.754,0.437,68.761,0.924,3.032,0.633,0.205,0.685,0.157,0.363,0.362,0.036,0.555,0.116,0.195,0.237,0.553,0.667,0.710,,,,,,,,,235
Wofford,15,Midwest,0.551,0.263,0.186,1.042,0.359,0.295,0.492,0.665,0.339,63.969,0.980,3.069,0.523,0.294,0.723,0.161,0.325,0.280,0.031,0.493,0.095,0.155,0.193,0.400,0.571,0.586,,,,,,,,,225
Coastal Carolina,16,East,0.537,0.244,0.219,1.036,0.320,0.311,0.479,0.693,0.389,71.310,0.951,0.267,0.536,0.322,0.728,0.198,0.321,0.424,0.049,0.472,0.087,0.165,0.180,0.391,0.615,0.600,,,,,,,,,293
Weber State,16,West,0.447,0.301,0.252,1.183,0.394,0.373,0.548,0.738,0.500,66.149,0.924,-4.893,0.555,0.266,0.733,0.187,0.331,0.224,0.068,0.474,0.057,0.177,0.134,0.351,0.429,0.607,,,,,,,,,273
Albany,16,South,0.537,0.218,0.245,1.081,0.361,0.262,0.490,0.749,0.424,65.465,0.936,-0.667,0.512,0.305,0.733,0.193,0.351,0.369,0.055,0.482,0.083,0.189,0.179,0.288,0.167,0.576,,,,,,,,,231
Cal Poly,16,Midwest,0.497,0.306,0.197,0.996,0.335,0.352,0.463,0.687,0.330,62.318,1.001,2.300,0.492,0.292,0.692,0.144,0.340,0.310,0.053,0.491,0.089,0.195,0.174,0.429,0.444,0.367,,,,,,,,,112
