Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Indiana,1,East,0.489,0.274,0.237,1.188,0.411,0.321,0.552,0.745,0.460,69.860,0.972,2.758,0.584,0.388,0.719,0.186,0.306,0.329,0.064,0.440,0.107,0.145,0.206,0.277,0.500,0.818,,,,,,,,,14
Gonzaga,1,West,0.549,0.243,0.208,1.174,0.364,0.311,0.555,0.712,0.410,66.767,0.985,3.656,0.608,0.370,0.727,0.167,0.318,0.380,0.051,0.442,0.118,0.147,0.204,0.295,0.833,0.938,,,,,,,,,97
Kansas,1,South,0.546,0.240,0.214,1.144,0.367,0.296,0.534,0.733,0.397,69.955,0.945,-0.824,0.573,0.331,0.730,0.196,0.307,0.362,0.114,0.415,0.103,0.153,0.184,0.331,0.667,0.853,,,,,,,,,33
Louisville,1,Midwest,0.545,0.238,0.218,1.070,0.331,0.303,0.495,0.711,0.388,69.180,1.000,8.412,0.542,0.379,0.693,0.183,0.312,0.335,0.080,0.440,0.155,0.149,0.270,0.337,0.556,0.853,,,,,,,,,6
Miami,2,East,0.522,0.293,0.186,1.100,0.358,0.349,0.523,0.677,0.352,65.872,0.966,0.970,0.562,0.296,0.734,0.166,0.326,0.349,0.082,0.456,0.096,0.165,0.180,0.288,0.571,0.818,,,,,,,,,31
Ohio State,2,West,0.550,0.261,0.189,1.079,0.351,0.311,0.508,0.693,0.342,65.092,0.983,4.091,0.540,0.314,0.749,0.163,0.320,0.357,0.082,0.452,0.104,0.154,0.203,0.284,0.400,0.788,,,,,,,,,11
Georgetown,2,South,0.530,0.273,0.197,1.090,0.358,0.325,0.515,0.680,0.371,64.525,0.928,0.613,0.558,0.293,0.712,0.197,0.304,0.341,0.073,0.428,0.116,0.167,0.221,0.336,0.500,0.806,,,,,,,,,16
Duke,2,Midwest,0.501,0.297,0.202,1.156,0.406,0.333,0.544,0.732,0.377,69.816,0.970,1.781,0.553,0.281,0.685,0.153,0.293,0.268,0.066,0.457,0.094,0.136,0.206,0.314,0.750,0.844,,,,,,,,,12
Marquette,3,East,0.587,0.185,0.228,1.097,0.301,0.269,0.507,0.723,0.414,66.269,0.946,-0.742,0.581,0.362,0.683,0.205,0.318,0.355,0.062,0.462,0.102,0.203,0.194,0.315,0.500,0.742,,,,,,,,,9
New Mexico,3,West,0.461,0.285,0.253,1.071,0.354,0.350,0.487,0.722,0.458,66.417,0.950,0.471,0.506,0.274,0.732,0.174,0.343,0.390,0.070,0.455,0.092,0.190,0.191,0.252,0.800,0.853,,,,,,,,,70
Florida,3,South,0.497,0.352,0.151,1.155,0.381,0.404,0.558,0.680,0.292,64.070,0.973,4.152,0.596,0.334,0.737,0.174,0.301,0.331,0.065,0.427,0.109,0.151,0.218,0.302,0.000,0.788,,,,,,,,,23
Michigan State,3,Midwest,0.575,0.221,0.204,1.086,0.344,0.273,0.507,0.710,0.367,65.486,0.951,0.938,0.551,0.338,0.735,0.201,0.302,0.338,0.072,0.450,0.123,0.167,0.194,0.326,0.615,0.750,,,,,,,,,2
Syracuse,4,East,0.550,0.255,0.195,1.048,0.334,0.311,0.492,0.675,0.353,68.089,0.998,4.743,0.529,0.386,0.676,0.186,0.298,0.398,0.115,0.436,0.131,0.200,0.227,0.355,0.556,0.743,,,,,,,,,4
Kansas State,4,West,0.520,0.298,0.182,1.045,0.359,0.332,0.492,0.689,0.318,64.931,1.009,5.182,0.514,0.376,0.676,0.179,0.331,0.289,0.071,0.474,0.108,0.173,0.220,0.369,0.833,0.788,,,,,,,,,30
Michigan,4,South,0.546,0.296,0.158,1.137,0.375,0.340,0.544,0.710,0.287,65.632,0.997,2.781,0.582,0.301,0.716,0.140,0.332,0.350,0.050,0.479,0.092,0.190,0.185,0.229,0.571,0.781,,,,,,,,,3
Saint Louis,4,Midwest,0.494,0.269,0.237,1.096,0.346,0.343,0.507,0.706,0.447,66.471,0.943,3.394,0.556,0.260,0.735,0.173,0.329,0.267,0.062,0.457,0.113,0.168,0.229,0.356,0.500,0.818,,,,,,,,,96
UNLV,5,East,0.519,0.274,0.207,1.061,0.327,0.347,0.493,0.706,0.365,70.666,0.949,0.333,0.529,0.324,0.747,0.199,0.313,0.321,0.100,0.440,0.102,0.161,0.182,0.297,0.600,0.727,,,,,,,,,79
Wisconsin,5,West,0.499,0.339,0.162,1.026,0.334,0.397,0.491,0.633,0.299,63.618,1.011,4.265,0.522,0.315,0.760,0.153,0.292,0.248,0.080,0.430,0.089,0.135,0.177,0.256,0.625,0.676,,,,,,,,,1
