Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
VCU,5,South,0.519,0.308,0.173,1.083,0.352,0.362,0.513,0.701,0.306,70.789,1.011,11.177,0.554,0.369,0.678,0.167,0.336,0.330,0.062,0.500,0.167,0.163,0.280,0.410,0.600,0.765,,,,,,,,,78
Oklahoma State,5,Midwest,0.531,0.231,0.238,1.076,0.316,0.312,0.489,0.750,0.408,69.922,0.961,2.313,0.535,0.305,0.713,0.177,0.322,0.342,0.085,0.445,0.107,0.143,0.211,0.351,0.750,0.750,,,,,,,,,34
Butler,6,East,0.508,0.287,0.205,1.086,0.343,0.357,0.510,0.689,0.381,66.086,0.952,0.333,0.558,0.346,0.755,0.201,0.331,0.308,0.043,0.469,0.086,0.163,0.170,0.365,0.667,0.758,,,,,,,,,43
Arizona,6,West,0.474,0.313,0.212,1.118,0.363,0.379,0.519,0.748,0.374,68.888,0.954,2.969,0.557,0.343,0.753,0.190,0.360,0.304,0.072,0.470,0.101,0.162,0.200,0.321,0.625,0.781,,,,,,,,,62
UCLA,6,South,0.609,0.197,0.194,1.063,0.339,0.238,0.495,0.722,0.329,72.111,0.975,0.647,0.530,0.280,0.676,0.153,0.319,0.309,0.059,0.471,0.113,0.189,0.196,0.244,0.846,0.735,,,,,,,,,49
Memphis,6,Midwest,0.564,0.244,0.192,1.116,0.379,0.283,0.532,0.666,0.379,72.008,0.946,2.206,0.563,0.350,0.721,0.203,0.335,0.305,0.111,0.456,0.125,0.159,0.214,0.350,0.800,0.882,,,,,,,,,111
Illinois,7,East,0.473,0.336,0.190,1.032,0.323,0.412,0.480,0.722,0.312,67.341,0.985,4.061,0.522,0.322,0.680,0.171,0.344,0.348,0.074,0.489,0.102,0.180,0.215,0.369,0.875,0.636,,,,,,,,,7
Notre Dame,7,West,0.540,0.281,0.179,1.105,0.373,0.320,0.523,0.707,0.322,65.461,0.973,-0.353,0.559,0.315,0.725,0.169,0.322,0.290,0.067,0.465,0.078,0.222,0.158,0.247,0.800,0.735,,,,,,,,,21
San Diego State,7,South,0.538,0.259,0.203,1.038,0.324,0.324,0.485,0.684,0.360,67.863,0.967,1.200,0.527,0.305,0.732,0.176,0.319,0.323,0.078,0.441,0.097,0.184,0.181,0.297,0.333,0.667,,,,,,,,,74
Creighton,7,Midwest,0.475,0.349,0.176,1.237,0.421,0.396,0.591,0.750,0.336,66.226,0.930,-2.529,0.610,0.284,0.751,0.185,0.313,0.331,0.045,0.459,0.075,0.183,0.159,0.258,0.400,0.794,,,,,,,,,69
NC State,8,East,0.589,0.205,0.206,1.139,0.393,0.237,0.541,0.683,0.412,70.498,0.967,-1.588,0.572,0.334,0.689,0.175,0.299,0.322,0.069,0.466,0.093,0.166,0.165,0.281,0.545,0.706,,,,,,,,,56
Pittsburgh,8,West,0.589,0.218,0.193,1.098,0.360,0.261,0.522,0.664,0.375,62.388,1.012,6.469,0.571,0.401,0.728,0.175,0.312,0.352,0.081,0.447,0.107,0.162,0.218,0.349,0.200,0.750,,,,,,,,,44
North Carolina,8,South,0.551,0.289,0.160,1.042,0.370,0.307,0.495,0.673,0.280,73.224,0.996,4.788,0.513,0.331,0.701,0.168,0.349,0.326,0.055,0.480,0.109,0.168,0.207,0.267,0.667,0.697,,,,,,,,,22
Colorado State,8,Midwest,0.548,0.213,0.239,1.065,0.334,0.273,0.489,0.709,0.433,65.513,1.036,6.484,0.527,0.412,0.785,0.163,0.339,0.376,0.035,0.482,0.071,0.147,0.165,0.366,0.667,0.742,,,,,,,,,93
Temple,9,East,0.492,0.300,0.207,1.063,0.334,0.372,0.492,0.725,0.355,69.269,0.983,3.000,0.531,0.295,0.696,0.158,0.355,0.296,0.066,0.487,0.116,0.181,0.197,0.339,0.583,0.719,,,,,,,,,66
Wichita State,9,West,0.518,0.285,0.197,1.069,0.337,0.352,0.502,0.688,0.358,66.402,0.981,5.088,0.544,0.379,0.772,0.193,0.330,0.362,0.085,0.460,0.113,0.161,0.199,0.374,0.500,0.765,,,,,,,,,48
Villanova,9,South,0.448,0.271,0.281,1.058,0.337,0.353,0.473,0.722,0.513,70.025,0.912,0.125,0.506,0.313,0.729,0.223,0.368,0.357,0.065,0.469,0.108,0.194,0.214,0.405,0.375,0.594,,,,,,,,,13
Missouri,9,Midwest,0.550,0.248,0.202,1.101,0.340,0.313,0.513,0.739,0.351,70.389,0.986,1.970,0.560,0.393,0.740,0.188,0.329,0.351,0.059,0.459,0.096,0.157,0.171,0.288,0.333,0.697,,,,,,,,,39
Colorado,10,East,0.536,0.238,0.226,1.049,0.347,0.287,0.486,0.684,0.414,68.148,0.954,-0.125,0.525,0.321,0.711,0.194,0.323,0.359,0.054,0.461,0.103,0.160,0.190,0.247,0.625,0.656,,,,,,,,,50
Iowa State,10,West,0.445,0.371,0.184,1.136,0.370,0.439,0.536,0.731,0.331,72.742,0.967,1.424,0.571,0.328,0.729,0.182,0.307,0.332,0.049,0.478,0.090,0.191,0.182,0.324,0.400,0.667,,,,,,,,,27
Oklahoma,10,South,0.568,0.210,0.223,1.052,0.326,0.264,0.479,0.760,0.361,68.959,0.978,2.032,0.508,0.322,0.706,0.172,0.327,0.346,0.049,0.475,0.094,0.171,0.193,0.316,0.444,0.645,,,,,,,,,28
Cincinnati,10,Midwest,0.490,0.307,0.203,0.988,0.317,0.373,0.462,0.649,0.362,67.383,0.996,3.667,0.497,0.380,0.720,0.190,0.300,0.302,0.113,0.431,0.104,0.166,0.196,0.321,0.500,0.667,,,,,,,,,19
Bucknell,11,East,0.579,0.206,0.215,1.083,0.360,0.243,0.499,0.748,0.365,63.773,0.981,0.781,0.515,0.294,0.787,0.148,0.309,0.308,0.074,0.426,0.055,0.159,0.140,0.287,0.500,0.844,,,,,,,,,210
Belmont,11,West,0.503,0.324,0.173,1.191,0.376,0.395,0.568,0.735,0.324,69.793,0.921,1.100,0.645,0.283,0.675,0.194,0.329,0.369,0.051,0.474,0.137,0.171,0.245,0.369,0.500,0.800,,,,,,,,,134
Minnesota,11,South,0.545,0.229,0.226,1.058,0.326,0.296,0.491,0.685,0.419,65.700,0.987,2.438,0.542,0.433,0.706,0.210,0.339,0.343,0.107,0.454,0.115,0.182,0.195,0.353,0.500,0.625,,,,,,,,,5
Saint Mary's,11,Midwest,0.484,0.315,0.201,1.153,0.377,0.379,0.543,0.729,0.374,65.678,0.979,2.727,0.570,0.356,0.763,0.179,0.368,0.287,0.055,0.472,0.090,0.161,0.174,0.369,0.800,0.818,,,,,,,,,112
California,12,East,0.630,0.179,0.191,1.036,0.304,0.234,0.482,0.725,0.313,67.901,0.957,-2.161,0.526,0.312,0.707,0.185,0.336,0.294,0.081,0.445,0.085,0.174,0.163,0.307,0.667,0.645,,,,,,,,,58
Ole Miss,12,West,0.524,0.262,0.214,1.058,0.330,0.332,0.493,0.684,0.393,73.685,0.997,5.471,0.533,0.316,0.707,0.154,0.313,0.358,0.087,0.466,0.114,0.179,0.211,0.313,0.556,0.765,,,,,,,,,81
Akron,12,South,0.524,0.289,0.187,1.077,0.333,0.366,0.514,0.643,0.368,69.132,0.965,2.484,0.572,0.367,0.724,0.199,0.321,0.296,0.102,0.440,0.103,0.157,0.200,0.355,0.667,0.806,,,,,,,,,158
Oregon,12,Midwest,0.570,0.210,0.220,1.062,0.323,0.274,0.491,0.710,0.390,71.445,0.945,3.559,0.531,0.349,0.747,0.209,0.343,0.296,0.072,0.463,0.119,0.151,0.218,0.327,0.700,0.765,,,,,,,,,76
Montana,13,East,0.485,0.288,0.227,1.167,0.378,0.355,0.540,0.767,0.413,66.278,0.909,-3.034,0.568,0.231,0.709,0.186,0.331,0.305,0.055,0.483,0.087,0.169,0.182,0.351,0.875,0.793,,,,,,,,,264
La Salle,13,West,0.501,0.315,0.185,1.098,0.371,0.357,0.515,0.738,0.315,68.924,0.959,2.933,0.547,0.281,0.688,0.170,0.299,0.244,0.064,0.492,0.117,0.186,0.216,0.286,0.833,0.700,,,,,,,,,67
South Dakota State,13,South,0.481,0.324,0.195,1.147,0.394,0.364,0.535,0.773,0.335,65.768,0.965,1.129,0.545,0.277,0.755,0.160,0.355,0.351,0.039,0.509,0.077,0.194,0.169,0.247,0.400,0.710,,,,,,,,,160
New Mexico State,13,Midwest,0.584,0.176,0.240,1.071,0.326,0.237,0.500,0.658,0.479,67.111,0.945,-0.606,0.549,0.358,0.723,0.214,0.338,0.298,0.099,0.453,0.082,0.156,0.183,0.308,0.600,0.697,,,,,,,,,150
Davidson,14,East,0.467,0.308,0.225,1.162,0.366,0.385,0.533,0.801,0.387,66.150,0.953,1.219,0.572,0.278,0.743,0.166,0.323,0.262,0.052,0.455,0.086,0.137,0.186,0.365,0.500,0.781,,,,,,,,,219
Harvard,14,West,0.474,0.277,0.249,1.183,0.401,0.338,0.551,0.723,0.504,66.008,0.883,-2.889,0.586,0.239,0.701,0.207,0.327,0.285,0.078,0.490,0.112,0.179,0.206,0.307,0.600,0.667,,,,,,,,,119
Northwestern State,14,South,0.557,0.221,0.222,1.062,0.314,0.297,0.493,0.690,0.408,75.002,0.976,1.481,0.532,0.341,0.636,0.187,0.340,0.254,0.075,0.476,0.124,0.168,0.216,0.406,0.750,0.704,,,,,,,,,196
Valparaiso,14,Midwest,0.470,0.312,0.217,1.195,0.375,0.398,0.561,0.737,0.423,67.108,0.891,-1.969,0.612,0.296,0.744,0.223,0.336,0.262,0.062,0.460,0.095,0.160,0.193,0.375,0.714,0.781,,,,,,,,,175
Pacific,15,East,0.501,0.290,0.209,1.087,0.391,0.318,0.508,0.700,0.382,64.376,0.957,1.156,0.512,0.284,0.701,0.174,0.347,0.382,0.024,0.497,0.086,0.190,0.198,0.392,0.500,0.625,,,,,,,,,133
Iona,15,West,0.493,0.312,0.195,1.129,0.373,0.364,0.525,0.778,0.327,73.746,0.969,1.242,0.566,0.315,0.678,0.165,0.373,0.353,0.049,0.515,0.090,0.206,0.191,0.320,0.375,0.606,,,,,,,,,147
Florida Gulf Coast,15,South,0.542,0.275,0.184,1.081,0.331,0.348,0.514,0.670,0.345,71.336,0.943,1.125,0.569,0.329,0.688,0.205,0.315,0.380,0.066,0.471,0.124,0.186,0.219,0.329,1.000,0.688,,,,,,,,,132
Albany,15,Midwest,0.491,0.279,0.229,1.084,0.364,0.330,0.498,0.734,0.403,64.604,0.917,-0.882,0.527,0.291,0.728,0.207,0.331,0.349,0.038,0.479,0.084,0.159,0.194,0.274,0.667,0.706,,,,,,,,,243
James Madison,16,East,0.515,0.264,0.221,1.029,0.333,0.321,0.474,0.701,0.383,66.274,0.961,2.706,0.505,0.270,0.713,0.169,0.350,0.341,0.087,0.487,0.119,0.189,0.209,0.398,0.571,0.588,,,,,,,,,272
Southern,16,West,0.482,0.298,0.220,1.057,0.364,0.344,0.491,0.688,0.403,67.097,0.944,-0.138,0.507,0.242,0.714,0.164,0.296,0.301,0.073,0.416,0.105,0.126,0.198,0.352,0.556,0.690,,,,,,,,,327
Western Kentucky,16,South,0.500,0.292,0.208,1.051,0.332,0.364,0.491,0.680,0.379,68.256,0.941,0.500,0.544,0.344,0.707,0.221,0.328,0.317,0.060,0.479,0.089,0.153,0.203,0.370,0.545,0.559,,,,,,,,,146
North Carolina A&T,16,Midwest,0.481,0.284,0.236,0.991,0.306,0.369,0.456,0.654,0.430,68.478,0.917,-0.286,0.512,0.286,0.689,0.217,0.322,0.383,0.084,0.447,0.099,0.172,0.229,0.410,0.583,0.543,,,,,,,,,266
