Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
VCU,12,0.525,0.256,0.217,1.109,0.347,0.326,0.519,0.695,0.415,69.854,0.922,2.628,0.575,0.266,0.729,0.191,0.318,0.341,0.084,0.468,0.127,0.165,0.233,0.311,0.666,0.794,0,1,5,3,12,1,10,2,113
Furman,13,0.458,0.352,0.188,1.162,0.341,0.466,0.549,0.735,0.347,70.418,0.968,2.060,0.640,0.277,0.739,0.154,0.326,0.348,0.053,0.506,0.087,0.161,0.177,0.318,0.600,0.774,0,2,1,0,9,3,14,2,250
Louisiana,13,0.543,0.266,0.190,1.109,0.364,0.317,0.528,0.670,0.370,70.115,0.963,2.419,0.566,0.317,0.751,0.173,0.355,0.300,0.050,0.505,0.105,0.156,0.179,0.341,0.625,0.766,0,2,1,3,10,1,12,1,167
Kent State,13,0.509,0.306,0.183,1.082,0.332,0.383,0.508,0.723,0.315,71.343,0.973,5.363,0.557,0.296,0.729,0.158,0.309,0.400,0.074,0.472,0.118,0.158,0.216,0.380,0.666,0.812,0,3,2,1,11,1,13,1,158
Iona,13,0.550,0.278,0.170,1.095,0.361,0.319,0.516,0.731,0.289,70.257,0.996,4.771,0.540,0.316,0.713,0.148,0.297,0.346,0.095,0.462,0.106,0.173,0.203,0.309,0.250,0.794,0,1,0,2,7,2,20,2,258
UCSB,14,0.581,0.228,0.189,1.146,0.348,0.291,0.540,0.736,0.344,66.997,0.931,1.151,0.582,0.244,0.773,0.166,0.345,0.314,0.044,0.501,0.094,0.174,0.181,0.292,0.777,0.781,0,0,3,1,9,5,13,1,295
Montana State,14,0.517,0.236,0.246,1.118,0.318,0.334,0.509,0.757,0.439,69.007,0.923,1.666,0.557,0.238,0.767,0.174,0.346,0.339,0.057,0.498,0.093,0.137,0.196,0.351,0.700,0.718,0,2,2,1,6,5,15,1,207
Kennesaw State,14,0.494,0.321,0.184,1.103,0.367,0.375,0.526,0.662,0.358,71.770,0.929,1.562,0.559,0.241,0.768,0.174,0.344,0.388,0.046,0.510,0.101,0.163,0.189,0.368,0.714,0.741,0,4,2,0,8,2,13,2,161
Grand Canyon,14,0.453,0.347,0.199,1.122,0.375,0.406,0.527,0.714,0.368,68.528,0.940,-3.030,0.550,0.274,0.727,0.175,0.323,0.326,0.051,0.475,0.067,0.155,0.146,0.331,0.588,0.656,1,2,2,1,8,7,10,1,147
Princeton,15,0.500,0.327,0.171,1.101,0.337,0.408,0.521,0.712,0.303,70.267,0.956,-0.300,0.590,0.261,0.783,0.161,0.327,0.329,0.055,0.483,0.065,0.158,0.143,0.281,0.714,0.703,0,1,2,2,8,3,9,2,133
Vermont,15,0.485,0.362,0.152,1.141,0.360,0.433,0.548,0.702,0.281,66.990,0.938,0.606,0.605,0.177,0.788,0.139,0.351,0.361,0.053,0.510,0.082,0.166,0.163,0.269,0.666,0.687,0,3,1,3,5,3,16,1,153
Colgate,15,0.553,0.311,0.134,1.190,0.404,0.345,0.582,0.662,0.273,69.037,0.948,1.235,0.621,0.229,0.770,0.147,0.355,0.369,0.048,0.521,0.101,0.210,0.173,0.200,0.444,0.757,0,1,1,0,2,5,22,2,307
UNC Asheville,15,0.473,0.317,0.208,1.135,0.385,0.372,0.536,0.693,0.408,71.237,0.899,-3.484,0.575,0.232,0.735,0.196,0.305,0.337,0.066,0.482,0.085,0.168,0.173,0.267,0.818,0.781,1,1,0,1,4,2,20,3,251
Texas A&M-CC,16,0.490,0.292,0.216,1.105,0.364,0.345,0.504,0.801,0.348,72.742,0.963,3.322,0.529,0.304,0.728,0.173,0.337,0.414,0.027,0.526,0.109,0.198,0.199,0.382,0.500,0.666,0,3,0,0,1,1,18,6,330
Fairleigh Dickinson,16,0.515,0.313,0.170,1.091,0.343,0.376,0.512,0.756,0.279,71.450,0.974,5.057,0.568,0.294,0.725,0.159,0.345,0.400,0.034,0.546,0.103,0.212,0.206,0.338,0.636,0.531,0,1,0,0,1,2,16,12,350
Northern Kentucky,16,0.477,0.359,0.162,1.039,0.343,0.409,0.490,0.707,0.269,65.700,0.980,5.030,0.511,0.306,0.695,0.169,0.363,0.387,0.048,0.513,0.137,0.211,0.228,0.305,0.583,0.625,0,2,1,3,5,4,14,3,216
Howard,16,0.499,0.319,0.181,1.098,0.369,0.364,0.518,0.713,0.321,73.378,0.912,-0.781,0.547,0.319,0.710,0.221,0.338,0.368,0.050,0.509,0.095,0.169,0.200,0.339,0.888,0.612,0,3,0,0,4,6,15,3,281
