Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Duke,1,East,0.475,0.331,0.194,1.195,0.351,0.444,0.568,0.724,0.378,68.700,1.006,5.059,0.663,0.365,0.779,0.153,0.304,0.457,0.057,0.462,0.113,0.170,0.177,0.237,0.714,0.941,17,2,6,0,2,0,7,0,13
Florida,1,South ,0.540,0.255,0.206,1.137,0.308,0.371,0.535,0.710,0.391,74.084,1.034,5.515,0.623,0.432,0.775,0.161,0.324,0.337,0.082,0.463,0.090,0.151,0.151,0.340,0.333,0.788,12,6,6,1,3,0,5,0,5
Arizona,1,West,0.573,0.205,0.222,1.176,0.360,0.268,0.551,0.734,0.429,73.097,1.010,3.559,0.604,0.381,0.755,0.148,0.314,0.372,0.068,0.450,0.107,0.164,0.164,0.277,0.714,0.941,16,2,8,0,1,0,7,0,24
Michigan,1,Midwest,0.488,0.314,0.198,1.228,0.362,0.419,0.582,0.746,0.386,73.694,0.965,-0.303,0.673,0.345,0.751,0.164,0.302,0.423,0.094,0.444,0.079,0.150,0.154,0.259,0.778,0.939,16,2,6,0,6,0,3,0,2
UConn,2,East,0.515,0.322,0.162,1.157,0.352,0.403,0.553,0.716,0.300,68.332,0.982,2.676,0.632,0.337,0.741,0.163,0.303,0.362,0.097,0.457,0.101,0.155,0.176,0.402,0.889,0.853,7,3,11,1,6,1,5,0,22
Houston,2,South ,0.492,0.342,0.166,1.108,0.349,0.408,0.521,0.772,0.269,67.214,1.035,7.618,0.554,0.344,0.722,0.126,0.321,0.409,0.074,0.466,0.115,0.166,0.204,0.390,0.429,0.824,10,6,9,0,3,0,6,0,27
Purdue,2,West,0.499,0.347,0.154,1.202,0.381,0.414,0.577,0.744,0.283,66.813,1.016,3.941,0.622,0.353,0.755,0.136,0.343,0.452,0.048,0.523,0.084,0.218,0.155,0.266,0.500,0.765,10,8,6,0,7,0,3,0,4
Iowa State,2,Midwest,0.501,0.331,0.168,1.169,0.387,0.388,0.565,0.672,0.340,69.737,0.997,7.147,0.614,0.330,0.737,0.147,0.321,0.428,0.049,0.495,0.129,0.183,0.219,0.279,0.800,0.794,8,7,10,0,2,0,7,0,49
Michigan State,3,East,0.504,0.291,0.205,1.150,0.359,0.364,0.536,0.763,0.362,68.750,0.995,3.031,0.582,0.371,0.797,0.167,0.329,0.460,0.071,0.486,0.075,0.191,0.145,0.309,0.625,0.781,9,6,5,1,7,0,4,0,15
Illinois,3,South ,0.421,0.388,0.191,1.177,0.347,0.507,0.551,0.789,0.329,68.488,1.045,1.969,0.634,0.384,0.741,0.130,0.314,0.422,0.073,0.476,0.055,0.195,0.114,0.206,0.143,0.750,7,8,5,0,7,0,5,0,17
Gonzaga,3,West,0.603,0.235,0.162,1.170,0.340,0.310,0.563,0.699,0.311,72.227,1.015,7.667,0.624,0.342,0.763,0.134,0.308,0.437,0.064,0.462,0.118,0.167,0.200,0.310,1.000,0.909,7,2,4,0,11,1,8,0,89
Virginia,3,Midwest,0.443,0.376,0.180,1.152,0.359,0.465,0.546,0.726,0.330,69.594,1.010,2.147,0.611,0.370,0.733,0.156,0.309,0.375,0.109,0.453,0.093,0.169,0.152,0.330,0.800,0.853,8,4,9,1,5,0,7,0,58
Kansas,4,East,0.513,0.292,0.195,1.110,0.350,0.357,0.516,0.767,0.326,70.427,0.976,-2.303,0.557,0.280,0.725,0.151,0.307,0.420,0.091,0.452,0.078,0.167,0.136,0.277,0.857,0.697,9,9,7,1,4,0,3,0,3
Nebraska,4,South ,0.436,0.409,0.155,1.163,0.353,0.507,0.554,0.750,0.272,69.033,0.972,2.563,0.639,0.253,0.744,0.141,0.299,0.493,0.044,0.478,0.105,0.206,0.188,0.248,0.571,0.813,9,6,6,0,5,0,6,0,51
Arkansas,4,West,0.525,0.274,0.194,1.204,0.387,0.333,0.564,0.748,0.366,74.315,1.008,2.324,0.596,0.304,0.701,0.117,0.320,0.386,0.080,0.516,0.097,0.190,0.152,0.311,0.778,0.765,7,8,8,0,4,0,6,0,8
Alabama,4,Midwest,0.382,0.414,0.204,1.183,0.358,0.537,0.554,0.765,0.372,77.225,1.005,-1.750,0.652,0.293,0.696,0.127,0.335,0.351,0.074,0.493,0.083,0.180,0.123,0.327,0.750,0.719,7,7,9,2,5,0,2,0,1
