Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Villanova,1,East,0.428,0.354,0.218,1.178,0.389,0.429,0.553,0.727,0.424,67.552,0.973,4.235,0.581,0.316,0.734,0.161,0.308,0.325,0.074,0.455,0.115,0.175,0.210,0.303,0.833,0.941,,,,,,,,,55
Wisconsin,1,West,0.510,0.291,0.199,1.166,0.357,0.370,0.546,0.763,0.356,60.900,1.016,4.853,0.586,0.306,0.788,0.122,0.360,0.267,0.067,0.467,0.074,0.146,0.164,0.211,0.667,0.912,,,,,,,,,10
Duke,1,South,0.522,0.282,0.196,1.188,0.386,0.345,0.569,0.691,0.402,68.425,0.995,2.818,0.615,0.360,0.717,0.164,0.320,0.277,0.064,0.474,0.105,0.175,0.184,0.250,0.750,0.879,,,,,,,,,4
Kentucky,1,Midwest,0.548,0.218,0.234,1.119,0.350,0.281,0.518,0.722,0.438,66.403,1.016,5.882,0.547,0.399,0.720,0.159,0.274,0.310,0.127,0.397,0.098,0.116,0.212,0.316,1.000,1.000,,,,,,,,,40
Virginia,2,East,0.573,0.232,0.195,1.094,0.361,0.273,0.512,0.723,0.342,60.192,0.995,3.625,0.540,0.331,0.781,0.158,0.305,0.364,0.086,0.418,0.093,0.150,0.176,0.280,0.667,0.906,,,,,,,,,27
Arizona,2,West,0.566,0.199,0.235,1.145,0.360,0.258,0.536,0.699,0.471,68.489,0.979,6.882,0.571,0.337,0.815,0.164,0.329,0.314,0.070,0.443,0.105,0.144,0.206,0.363,0.571,0.912,,,,,,,,,76
Gonzaga,2,South,0.539,0.273,0.188,1.214,0.409,0.321,0.585,0.689,0.392,67.041,0.970,0.576,0.608,0.321,0.742,0.159,0.323,0.305,0.058,0.436,0.090,0.146,0.171,0.316,0.333,0.939,,,,,,,,,96
Kansas,2,Midwest,0.515,0.245,0.239,1.075,0.375,0.283,0.493,0.719,0.431,68.570,0.964,-1.382,0.535,0.332,0.699,0.187,0.309,0.319,0.086,0.444,0.095,0.163,0.171,0.336,0.583,0.765,,,,,,,,,2
Oklahoma,3,East,0.523,0.281,0.195,1.064,0.343,0.336,0.494,0.735,0.327,70.266,0.963,0.594,0.539,0.291,0.709,0.173,0.310,0.337,0.085,0.437,0.098,0.158,0.197,0.289,0.375,0.688,,,,,,,,,7
Baylor,3,West,0.490,0.304,0.206,1.058,0.382,0.332,0.497,0.667,0.388,64.743,1.008,3.406,0.516,0.406,0.704,0.192,0.298,0.359,0.072,0.458,0.124,0.235,0.191,0.324,0.667,0.719,,,,,,,,,13
Iowa State,3,South,0.510,0.298,0.192,1.151,0.366,0.368,0.547,0.696,0.374,71.242,0.961,0.848,0.601,0.270,0.727,0.155,0.352,0.346,0.062,0.479,0.089,0.201,0.182,0.242,0.667,0.758,,,,,,,,,9
Notre Dame,3,Midwest,0.496,0.315,0.190,1.229,0.392,0.386,0.586,0.740,0.371,66.349,0.968,-0.529,0.626,0.262,0.706,0.141,0.329,0.326,0.061,0.481,0.104,0.189,0.170,0.233,0.700,0.853,,,,,,,,,20
Louisville,4,East,0.544,0.245,0.211,1.024,0.304,0.326,0.478,0.660,0.388,67.706,1.002,4.750,0.525,0.341,0.713,0.175,0.293,0.314,0.101,0.434,0.121,0.173,0.214,0.346,0.600,0.750,,,,,,,,,5
North Carolina,4,West,0.625,0.184,0.191,1.092,0.345,0.226,0.514,0.701,0.348,71.929,0.988,1.514,0.562,0.385,0.717,0.176,0.298,0.371,0.074,0.453,0.093,0.170,0.173,0.376,0.571,0.686,,,,,,,,,1
Georgetown,4,South,0.519,0.248,0.233,1.098,0.347,0.316,0.509,0.702,0.441,67.332,0.961,2.129,0.562,0.332,0.722,0.186,0.359,0.351,0.094,0.466,0.115,0.167,0.200,0.439,0.545,0.677,,,,,,,,,17
Maryland,4,Midwest,0.436,0.315,0.249,1.118,0.372,0.382,0.509,0.757,0.445,66.816,0.937,-2.576,0.530,0.272,0.717,0.180,0.312,0.374,0.073,0.454,0.073,0.164,0.169,0.279,0.889,0.818,,,,,,,,,28
