Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG%,FT %,FTA/FGA,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3PT%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Wins,Losses,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
James Madison,12,0.506,0.308,0.184,1.134,0.359,0.439,0.539,0.700,0.349,73.573,0.983,4.485,0.592,0.293,0.747,0.145,0.296,0.354,0.051,0.471,0.119,0.144,0.192,0.351,0.833,31,3,1,1,0,1,7,1,22,0,33
McNeese,12,0.509,0.285,0.204,1.144,0.387,0.350,0.541,0.696,0.400,68.145,1.003,6.366,0.572,0.307,0.712,0.136,0.333,0.476,0.065,0.482,0.136,0.185,0.224,0.337,0.600,30,3,1,0,2,2,4,0,19,1,62
Yale,13,0.541,0.300,0.158,1.093,0.349,0.361,0.521,0.705,0.277,68.313,0.976,2.354,0.567,0.255,0.781,0.139,0.345,0.414,0.056,0.503,0.087,0.202,0.157,0.293,0.500,22,9,0,3,3,2,10,2,7,2,78
Charleston,13,0.448,0.392,0.158,1.099,0.346,0.384,0.522,0.723,0.272,72.096,1.016,4.794,0.581,0.323,0.757,0.139,0.345,0.369,0.051,0.511,0.085,0.160,0.158,0.292,0.857,27,7,0,1,1,2,11,4,14,0,76
Vermont,13,0.477,0.353,0.168,1.090,0.332,0.446,0.515,0.718,0.292,66.650,0.960,0.121,0.592,0.206,0.778,0.137,0.315,0.365,0.069,0.467,0.086,0.151,0.148,0.268,0.800,28,6,0,2,2,0,9,3,15,1,69
Samford,13,0.463,0.349,0.186,1.191,0.394,0.446,0.567,0.720,0.362,75.706,0.935,0.969,0.617,0.271,0.696,0.174,0.338,0.397,0.062,0.504,0.124,0.184,0.211,0.374,0.667,29,5,0,2,2,0,10,3,15,0,74
Morehead State,14,0.463,0.367,0.168,1.136,0.353,0.309,0.541,0.715,0.305,67.309,0.949,-1.096,0.600,0.299,0.760,0.177,0.317,0.316,0.074,0.463,0.084,0.148,0.150,0.322,0.000,26,8,0,2,0,2,3,2,19,2,117
Colgate,14,0.527,0.323,0.149,1.108,0.354,0.345,0.533,0.680,0.275,67.277,0.946,-0.411,0.575,0.237,0.775,0.159,0.307,0.400,0.059,0.478,0.091,0.189,0.159,0.244,0.667,25,9,0,2,1,3,2,1,21,3,118
Oakland,14,0.458,0.340,0.175,1.142,0.359,0.338,0.522,0.757,0.303,68.636,0.972,0.500,0.557,0.289,0.724,0.160,0.343,0.408,0.046,0.509,0.093,0.236,0.163,0.270,0.900,23,11,1,5,1,0,7,6,14,0,98
Akron,14,0.502,0.310,0.186,1.098,0.316,0.451,0.516,0.723,0.326,68.446,0.954,0.575,0.592,0.271,0.763,0.166,0.307,0.367,0.050,0.490,0.078,0.165,0.161,0.269,0.500,24,11,0,3,2,3,6,2,14,2,108
South Dakota State,15,0.502,0.334,0.163,1.155,0.364,0.393,0.552,0.717,0.301,69.837,0.933,-0.906,0.610,0.223,0.763,0.163,0.354,0.469,0.050,0.512,0.084,0.175,0.161,0.329,0.400,22,12,0,1,0,2,7,4,12,5,157
Long Beach State,15,0.572,0.210,0.216,1.048,0.309,0.350,0.484,0.708,0.378,74.611,0.974,2.657,0.525,0.314,0.734,0.167,0.351,0.436,0.070,0.510,0.101,0.209,0.178,0.322,0.667,21,14,0,1,3,2,7,5,9,6,161
Western Kentucky,15,0.564,0.255,0.182,1.098,0.343,0.400,0.517,0.720,0.320,77.243,0.931,-0.064,0.577,0.262,0.758,0.179,0.323,0.405,0.051,0.486,0.098,0.166,0.179,0.329,0.500,22,11,0,0,1,0,6,7,12,4,142
Saint Peter's,15,0.497,0.268,0.234,0.987,0.331,0.392,0.446,0.718,0.380,67.424,0.966,3.093,0.474,0.323,0.727,0.187,0.320,0.348,0.081,0.471,0.102,0.163,0.198,0.424,0.600,19,14,0,1,0,2,3,6,15,4,179
Stetson,16,0.467,0.345,0.186,1.128,0.359,0.448,0.528,0.762,0.318,68.313,0.955,-3.562,0.566,0.254,0.695,0.156,0.345,0.372,0.048,0.522,0.072,0.205,0.132,0.254,1.000,22,12,1,2,0,2,1,0,17,8,146
Wagner,16,0.494,0.335,0.170,0.965,0.322,0.357,0.451,0.700,0.264,65.010,0.986,2.161,0.475,0.270,0.745,0.153,0.303,0.407,0.042,0.497,0.088,0.207,0.163,0.301,0.500,17,16,0,2,0,0,3,3,11,10,266
Longwood,16,0.536,0.219,0.209,1.093,0.333,0.346,0.490,0.692,0.392,68.588,0.979,4.437,0.527,0.355,0.743,0.183,0.348,0.394,0.041,0.517,0.097,0.174,0.194,0.364,0.500,21,13,0,1,1,2,4,4,13,6,171
Grambling,16,0.538,0.239,0.222,1.044,0.339,0.385,0.481,0.708,0.387,68.196,0.916,-2.575,0.509,0.260,0.684,0.195,0.342,0.342,0.057,0.497,0.104,0.202,0.184,0.337,0.400,21,14,0,6,0,0,0,2,17,6,201
