Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Syracuse,1,East,0.564,0.255,0.180,1.098,0.345,0.313,0.520,0.696,0.329,67.336,1.012,4.371,0.559,0.359,0.632,0.154,0.307,0.360,0.126,0.439,0.139,0.200,0.236,0.298,0.857,0.943,,,,,,,,,32
Michigan State,1,West,0.576,0.224,0.199,1.125,0.367,0.271,0.532,0.695,0.381,66.695,0.965,1.972,0.566,0.359,0.754,0.191,0.296,0.359,0.078,0.432,0.107,0.158,0.187,0.347,0.500,0.806,,,,,,,,,1
Kentucky,1,South,0.564,0.225,0.212,1.146,0.375,0.273,0.538,0.719,0.401,67.651,0.997,1.556,0.574,0.374,0.721,0.167,0.317,0.300,0.147,0.417,0.090,0.153,0.171,0.260,0.750,0.944,,,,,,,,,19
North Carolina,1,Midwest,0.607,0.188,0.205,1.067,0.342,0.231,0.500,0.684,0.378,74.332,1.031,6.056,0.533,0.389,0.745,0.156,0.317,0.355,0.089,0.450,0.093,0.155,0.180,0.216,0.500,0.861,,,,,,,,,25
Ohio State,2,East,0.602,0.199,0.199,1.115,0.328,0.265,0.525,0.703,0.371,67.808,0.986,6.667,0.574,0.350,0.776,0.172,0.322,0.353,0.060,0.461,0.105,0.150,0.214,0.291,0.375,0.806,,,,,,,,,2
Missouri,2,West,0.489,0.312,0.199,1.228,0.398,0.378,0.580,0.766,0.375,67.720,0.968,2.629,0.616,0.292,0.692,0.149,0.369,0.308,0.050,0.502,0.121,0.190,0.211,0.273,0.714,0.857,,,,,,,,,53
Duke,2,South,0.457,0.313,0.231,1.130,0.371,0.386,0.528,0.701,0.451,69.904,0.979,0.647,0.552,0.334,0.688,0.173,0.317,0.241,0.068,0.471,0.088,0.160,0.181,0.329,0.583,0.794,,,,,,,,,16
Kansas,2,Midwest,0.548,0.241,0.210,1.133,0.352,0.308,0.534,0.692,0.411,68.612,0.953,0.971,0.583,0.331,0.727,0.189,0.345,0.321,0.101,0.437,0.107,0.160,0.197,0.340,0.800,0.829,,,,,,,,,4
Florida State,3,East,0.541,0.265,0.194,1.090,0.354,0.318,0.512,0.707,0.348,70.028,0.916,-1.086,0.552,0.343,0.694,0.231,0.309,0.364,0.108,0.437,0.108,0.151,0.215,0.343,0.692,0.714,,,,,,,,,22
Marquette,3,West,0.546,0.227,0.228,1.096,0.339,0.292,0.506,0.722,0.413,72.151,0.959,1.500,0.562,0.324,0.657,0.183,0.318,0.323,0.059,0.454,0.121,0.191,0.226,0.308,0.857,0.794,,,,,,,,,31
Baylor,3,South,0.516,0.278,0.205,1.129,0.383,0.321,0.526,0.750,0.363,68.646,0.960,1.743,0.548,0.373,0.698,0.199,0.338,0.336,0.081,0.474,0.111,0.191,0.209,0.317,0.800,0.800,,,,,,,,,8
Georgetown,3,Midwest,0.549,0.242,0.209,1.097,0.344,0.305,0.514,0.698,0.388,65.595,0.959,0.656,0.554,0.346,0.724,0.190,0.277,0.329,0.089,0.431,0.092,0.175,0.189,0.363,0.500,0.719,,,,,,,,,24
Wisconsin,4,East,0.451,0.363,0.187,1.070,0.362,0.410,0.499,0.742,0.308,60.380,0.998,2.914,0.508,0.293,0.743,0.145,0.288,0.243,0.070,0.420,0.085,0.133,0.179,0.301,0.625,0.743,,,,,,,,,6
Louisville,4,West,0.534,0.253,0.213,1.027,0.313,0.326,0.476,0.687,0.375,69.391,0.963,1.270,0.526,0.344,0.680,0.205,0.302,0.322,0.086,0.428,0.130,0.162,0.219,0.343,0.556,0.757,,,,,,,,,5
Indiana,4,South,0.512,0.250,0.238,1.192,0.437,0.276,0.551,0.763,0.452,68.155,0.944,0.457,0.572,0.334,0.715,0.188,0.346,0.321,0.059,0.480,0.096,0.153,0.194,0.335,0.714,0.771,,,,,,,,,11
Michigan,4,Midwest,0.473,0.365,0.163,1.123,0.351,0.442,0.534,0.724,0.286,62.723,0.950,0.364,0.591,0.266,0.709,0.170,0.351,0.332,0.039,0.490,0.078,0.180,0.192,0.302,0.700,0.697,,,,,,,,,3
Vanderbilt,5,East,0.442,0.352,0.206,1.144,0.388,0.412,0.541,0.699,0.401,67.411,0.943,-1.194,0.577,0.313,0.699,0.192,0.309,0.325,0.070,0.469,0.088,0.167,0.180,0.286,0.400,0.694,,,,,,,,,20
New Mexico,5,West,0.477,0.316,0.208,1.125,0.378,0.371,0.528,0.713,0.388,67.862,0.948,1.971,0.543,0.325,0.747,0.195,0.311,0.360,0.062,0.444,0.100,0.166,0.205,0.315,0.571,0.794,,,,,,,,,121
Wichita State,5,South,0.533,0.273,0.194,1.147,0.369,0.329,0.538,0.750,0.346,69.117,0.967,2.438,0.575,0.324,0.766,0.171,0.312,0.326,0.069,0.448,0.088,0.159,0.180,0.328,0.571,0.813,,,,,,,,,113
