Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Villanova,1,East,0.464,0.341,0.195,1.231,0.37,0.441,0.579,0.794,0.353,67.182,0.947,2.029,0.636,0.29,0.753,0.167,0.313,0.402,0.055,0.481,0.108,0.202,0.198,0.218,0.8,0.912,,,,,,,,,34
Gonzaga,1,West,0.545,0.259,0.196,1.221,0.382,0.326,0.58,0.738,0.383,72.514,0.954,0.515,0.626,0.28,0.769,0.155,0.3,0.318,0.073,0.415,0.099,0.133,0.174,0.26,1,0.97,,,,,,,,,82
North Carolina,1,South,0.56,0.258,0.183,1.106,0.367,0.3,0.523,0.707,0.331,74.048,1.025,7.515,0.568,0.41,0.767,0.16,0.342,0.394,0.054,0.485,0.092,0.158,0.183,0.314,0.75,0.788,,,,,,,,,5
Kansas,1,Midwest,0.504,0.316,0.18,1.16,0.405,0.355,0.559,0.666,0.368,73.648,0.971,1.156,0.589,0.336,0.715,0.178,0.357,0.334,0.076,0.479,0.094,0.175,0.182,0.308,0.75,0.875,,,,,,,,,11
Duke,2,East,0.482,0.306,0.212,1.174,0.375,0.378,0.548,0.758,0.389,71.065,0.973,0.886,0.577,0.302,0.73,0.159,0.295,0.283,0.073,0.475,0.083,0.169,0.168,0.309,0.556,0.771,,,,,,,,,8
Arizona,2,West,0.511,0.265,0.224,1.159,0.398,0.308,0.537,0.758,0.41,68.928,0.958,1.088,0.554,0.303,0.761,0.166,0.306,0.366,0.057,0.471,0.08,0.184,0.173,0.292,0.714,0.882,,,,,,,,,67
Kentucky,2,South,0.538,0.246,0.216,1.133,0.353,0.316,0.533,0.702,0.417,76.826,0.989,5.441,0.575,0.325,0.758,0.157,0.307,0.327,0.087,0.474,0.079,0.144,0.19,0.347,0.5,0.853,,,,,,,,,31
Louisville,2,Midwest,0.536,0.276,0.188,1.086,0.359,0.324,0.514,0.685,0.348,70.831,1.015,5.875,0.545,0.356,0.738,0.158,0.309,0.356,0.098,0.451,0.095,0.151,0.194,0.398,0.625,0.75,,,,,,,,,7
Baylor,3,East,0.535,0.277,0.188,1.115,0.353,0.339,0.527,0.712,0.342,66.47,0.964,-0.258,0.582,0.384,0.724,0.202,0.314,0.344,0.086,0.452,0.077,0.196,0.165,0.304,0.6,0.774,,,,,,,,,10
Florida State,3,West,0.555,0.25,0.195,1.136,0.356,0.313,0.539,0.692,0.377,73.853,0.984,3.667,0.583,0.336,0.72,0.16,0.344,0.361,0.087,0.474,0.1,0.158,0.194,0.373,0.625,0.758,,,,,,,,,29
