Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Gonzaga,1,0.559,0.286,0.154,1.231,0.378,0.354,0.594,0.729,0.298,75.184,0.954,1.241,0.653,0.276,0.791,0.156,0.307,0.338,0.091,0.431,0.088,0.132,0.166,0.221,0,0.896,10,3,2,0,1,0,13,0,18
Baylor,1,0.53,0.311,0.158,1.106,0.345,0.377,0.528,0.697,0.285,70.33,0.978,5.813,0.577,0.344,0.73,0.177,0.299,0.358,0.061,0.478,0.125,0.186,0.223,0.268,0.6,0.812,10,5,8,1,2,0,6,0,3
Arizona,1,0.536,0.275,0.188,1.18,0.353,0.357,0.559,0.738,0.351,74.692,0.963,0.352,0.618,0.338,0.742,0.176,0.326,0.345,0.087,0.443,0.089,0.157,0.173,0.227,0.8,0.911,6,3,9,0,9,0,7,0,20
Kansas,1,0.547,0.272,0.18,1.141,0.355,0.337,0.54,0.724,0.327,71.658,0.964,1.412,0.591,0.321,0.736,0.174,0.3,0.341,0.069,0.469,0.089,0.166,0.18,0.277,0.75,0.823,12,5,8,1,5,0,3,0,4
Duke,2,0.536,0.305,0.157,1.162,0.368,0.365,0.556,0.728,0.285,70.082,0.987,0.823,0.607,0.304,0.736,0.146,0.313,0.337,0.087,0.469,0.092,0.193,0.157,0.189,0.556,0.823,6,2,6,3,8,1,8,0,30
Kentucky,2,0.61,0.232,0.156,1.12,0.349,0.28,0.533,0.73,0.271,71.077,0.997,4.454,0.574,0.364,0.772,0.162,0.303,0.36,0.07,0.465,0.095,0.159,0.17,0.25,0.25,0.787,9,7,5,0,4,0,8,0,2
Villanova,2,0.421,0.384,0.194,1.127,0.359,0.46,0.519,0.823,0.204,66.073,0.98,3.03,0.564,0.292,0.747,0.151,0.31,0.429,0.04,0.474,0.094,0.171,0.183,0.25,0.714,0.787,8,6,9,1,5,0,4,0,7
Auburn,2,0.503,0.309,0.186,1.076,0.32,0.399,0.503,0.732,0.316,74.82,0.974,4,0.577,0.309,0.738,0.161,0.312,0.363,0.134,0.441,0.117,0.147,0.2,0.348,0.5,0.843,8,5,7,0,8,0,4,0,24
Texas Tech,3,0.556,0.249,0.194,1.109,0.314,0.344,0.523,0.698,0.36,69.801,0.932,3.941,0.594,0.318,0.766,0.198,0.313,0.455,0.064,0.455,0.117,0.158,0.23,0.321,0.444,0.735,8,9,7,0,1,0,9,0,6
Purdue,3,0.488,0.328,0.182,1.189,0.39,0.39,0.569,0.702,0.362,68.83,0.972,0.705,0.599,0.341,0.787,0.169,0.334,0.41,0.058,0.496,0.067,0.198,0.138,0.213,0.444,0.794,8,6,6,1,7,0,6,0,8
Tennessee,3,0.467,0.359,0.173,1.066,0.358,0.406,0.503,0.712,0.295,70.773,0.971,5.939,0.519,0.313,0.752,0.175,0.311,0.394,0.08,0.461,0.131,0.158,0.229,0.316,0.5,0.787,11,7,5,0,4,0,6,0,1
Wisconsin,3,0.52,0.28,0.199,1.042,0.312,0.36,0.481,0.741,0.323,68.502,0.991,3.935,0.537,0.24,0.781,0.124,0.322,0.337,0.049,0.493,0.077,0.167,0.165,0.276,0.857,0.774,9,3,7,2,4,2,4,0,17
