Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Arkansas,4,0.526,0.248,0.224,1.075,0.306,0.342,0.492,0.753,0.379,74.222,0.96,4.454,0.557,0.29,0.77,0.169,0.327,0.392,0.072,0.474,0.104,0.173,0.201,0.323,0.5,0.757,7,6,5,1,6,1,7,0,35
UCLA,4,0.551,0.27,0.178,1.077,0.351,0.315,0.505,0.736,0.298,70.12,1.012,7.75,0.537,0.297,0.783,0.13,0.322,0.378,0.059,0.477,0.1,0.168,0.192,0.291,0.2,0.781,5,4,8,2,8,1,4,0,15
Illinois,4,0.46,0.365,0.174,1.118,0.367,0.426,0.531,0.707,0.316,70.272,0.968,0.543,0.565,0.316,0.761,0.173,0.322,0.295,0.05,0.463,0.073,0.147,0.152,0.284,0.6,0.706,6,6,6,3,6,0,4,0,9
Providence,4,0.477,0.305,0.217,1.086,0.342,0.381,0.502,0.726,0.385,69.259,0.959,-0.5,0.55,0.282,0.748,0.168,0.312,0.36,0.062,0.467,0.072,0.164,0.153,0.262,0.846,0.833,5,3,9,2,6,0,5,0,47
UConn,5,0.515,0.296,0.187,1.066,0.353,0.341,0.495,0.749,0.306,70.23,1.005,4.438,0.521,0.367,0.753,0.169,0.345,0.325,0.112,0.457,0.084,0.145,0.174,0.319,0.3,0.718,5,6,8,3,3,0,7,0,27
Saint Mary's,5,0.546,0.308,0.144,1.107,0.351,0.36,0.525,0.766,0.232,66.889,0.936,2.677,0.576,0.246,0.801,0.167,0.344,0.288,0.046,0.483,0.103,0.124,0.19,0.244,0.857,0.781,4,7,6,0,5,0,9,0,51
Houston,5,0.531,0.316,0.152,1.111,0.34,0.39,0.535,0.668,0.287,67.877,1.013,7.852,0.589,0.378,0.767,0.166,0.29,0.428,0.098,0.435,0.121,0.16,0.211,0.35,0.5,0.852,1,4,10,1,10,0,8,0,52
Iowa,5,0.492,0.332,0.174,1.135,0.368,0.391,0.536,0.748,0.303,72.336,1.019,5.828,0.567,0.309,0.719,0.126,0.329,0.364,0.074,0.497,0.102,0.199,0.188,0.262,0.375,0.742,4,6,8,3,7,0,7,0,14
Alabama,6,0.459,0.348,0.192,1.099,0.308,0.479,0.514,0.729,0.335,75.2,0.96,-0.218,0.636,0.338,0.705,0.193,0.331,0.359,0.076,0.464,0.093,0.164,0.173,0.351,0.583,0.593,8,8,5,3,5,2,1,0,10
Texas,6,0.524,0.281,0.194,1.076,0.323,0.36,0.5,0.748,0.323,66.209,0.959,4.156,0.56,0.303,0.726,0.177,0.318,0.336,0.067,0.466,0.116,0.138,0.227,0.368,0.625,0.656,5,10,5,1,3,0,8,0,12
Colorado State,6,0.512,0.312,0.175,1.17,0.357,0.39,0.552,0.773,0.303,67.117,0.938,0.62,0.615,0.207,0.763,0.15,0.326,0.443,0.055,0.498,0.091,0.179,0.181,0.249,0.857,0.833,5,3,8,1,3,1,8,0,85
LSU,6,0.535,0.268,0.196,1.064,0.318,0.346,0.495,0.732,0.329,72.69,0.945,4.424,0.553,0.324,0.708,0.2,0.279,0.459,0.08,0.45,0.152,0.156,0.248,0.383,0.444,0.666,6,9,5,1,6,1,5,0,21
Michigan State,7,0.522,0.298,0.179,1.106,0.377,0.333,0.519,0.746,0.303,69.757,0.934,-2.294,0.543,0.284,0.755,0.187,0.312,0.378,0.085,0.474,0.083,0.183,0.149,0.283,0.545,0.647,5,9,8,2,6,1,3,0,11
Murray State,7,0.522,0.307,0.169,1.111,0.347,0.376,0.529,0.697,0.31,69.028,0.987,5.897,0.597,0.338,0.768,0.167,0.3,0.406,0.056,0.48,0.112,0.152,0.204,0.246,1,0.937,2,1,3,0,5,1,17,0,145
Ohio State,7,0.482,0.329,0.188,1.164,0.373,0.396,0.547,0.759,0.334,67.416,0.951,-1.566,0.585,0.273,0.743,0.162,0.339,0.352,0.082,0.478,0.065,0.172,0.149,0.292,0.555,0.633,5,5,5,5,6,1,3,0,16
USC,7,0.555,0.276,0.167,1.069,0.354,0.319,0.51,0.665,0.309,69.851,0.971,-0.636,0.545,0.313,0.755,0.172,0.336,0.346,0.073,0.447,0.073,0.169,0.143,0.263,0.909,0.787,4,4,5,1,11,2,6,0,56
Boise State,8,0.5,0.316,0.182,1.072,0.341,0.386,0.511,0.65,0.351,66.597,0.949,3.575,0.56,0.292,0.787,0.182,0.324,0.331,0.065,0.481,0.088,0.147,0.197,0.258,0.727,0.794,6,3,7,3,7,0,6,1,82
North Carolina,8,0.499,0.32,0.18,1.113,0.361,0.374,0.52,0.772,0.296,72.122,0.967,1.424,0.554,0.286,0.815,0.161,0.349,0.368,0.061,0.498,0.075,0.179,0.139,0.215,0.5,0.727,3,8,3,0,13,0,5,1,37
Seton Hall,8,0.503,0.3,0.196,1.033,0.333,0.355,0.475,0.756,0.307,70.537,0.98,2.133,0.519,0.313,0.732,0.171,0.309,0.342,0.092,0.453,0.1,0.162,0.18,0.278,0.642,0.677,6,7,3,3,8,0,3,0,31
San Diego State,8,0.54,0.277,0.182,1.038,0.357,0.308,0.487,0.694,0.312,67.381,0.932,2.032,0.507,0.271,0.753,0.188,0.303,0.382,0.088,0.44,0.111,0.154,0.212,0.306,0.555,0.741,5,8,5,0,6,0,7,0,70
Memphis,9,0.546,0.251,0.201,1.114,0.358,0.307,0.529,0.692,0.384,73.152,0.926,-0.258,0.572,0.358,0.712,0.223,0.317,0.428,0.096,0.464,0.119,0.182,0.203,0.328,0.285,0.677,5,4,3,4,8,2,5,0,50
Marquette,9,0.492,0.347,0.16,1.11,0.347,0.417,0.525,0.746,0.268,73.65,0.912,-3.451,0.582,0.192,0.702,0.169,0.315,0.355,0.082,0.466,0.106,0.19,0.187,0.297,0.714,0.612,5,7,5,5,4,0,5,0,32
TCU,9,0.579,0.245,0.175,1.033,0.303,0.319,0.489,0.668,0.312,68.672,0.954,1.218,0.552,0.361,0.751,0.211,0.315,0.345,0.074,0.477,0.091,0.189,0.18,0.267,0.666,0.625,8,8,2,4,4,0,6,0,26
Creighton,9,0.552,0.291,0.156,1.074,0.306,0.382,0.509,0.728,0.259,70.237,0.917,-4.666,0.595,0.265,0.742,0.2,0.316,0.336,0.07,0.448,0.076,0.159,0.151,0.202,0.777,0.666,7,6,4,4,6,1,5,0,39
Davidson,10,0.469,0.347,0.182,1.178,0.384,0.41,0.556,0.757,0.329,66.902,0.948,1.125,0.583,0.219,0.792,0.146,0.338,0.438,0.047,0.494,0.069,0.179,0.166,0.28,0.7,0.818,2,2,4,3,9,1,11,0,103
San Francisco,10,0.476,0.367,0.156,1.108,0.346,0.444,0.53,0.692,0.284,71.984,0.951,2.531,0.592,0.287,0.781,0.177,0.289,0.304,0.08,0.468,0.107,0.145,0.181,0.322,0.5,0.727,4,6,5,2,5,0,9,1,68
Loyola-Chicago,10,0.467,0.362,0.169,1.176,0.379,0.431,0.562,0.718,0.319,67.979,0.918,1.129,0.628,0.24,0.789,0.18,0.314,0.381,0.045,0.47,0.098,0.136,0.195,0.283,0.8,0.781,3,2,5,4,7,1,9,0,93
Miami,10,0.541,0.292,0.165,1.141,0.352,0.358,0.541,0.743,0.288,69.017,0.951,1.757,0.601,0.208,0.713,0.139,0.352,0.393,0.051,0.534,0.126,0.219,0.199,0.246,0.6,0.696,4,3,5,4,9,3,5,0,57
Notre Dame,11,0.459,0.378,0.162,1.14,0.377,0.43,0.539,0.759,0.276,67.598,0.936,-1.58,0.572,0.201,0.779,0.152,0.317,0.353,0.031,0.49,0.074,0.166,0.146,0.229,0.727,0.687,2,8,2,1,11,1,6,0,58
Virginia Tech,11,0.48,0.381,0.137,1.15,0.392,0.414,0.551,0.742,0.237,64.881,0.948,1.571,0.579,0.262,0.761,0.166,0.317,0.369,0.059,0.487,0.082,0.179,0.184,0.252,0.461,0.657,3,5,6,5,7,2,7,0,42
Michigan,11,0.568,0.261,0.17,1.109,0.339,0.323,0.523,0.745,0.289,68.702,0.959,0.419,0.578,0.293,0.777,0.168,0.33,0.339,0.053,0.503,0.069,0.157,0.146,0.266,0.6,0.548,5,10,3,3,6,1,3,0,5
Iowa State,11,0.535,0.303,0.161,1.049,0.321,0.374,0.498,0.683,0.281,69.164,0.912,2.781,0.573,0.257,0.731,0.199,0.296,0.374,0.059,0.483,0.121,0.166,0.24,0.362,0.714,0.625,9,8,1,4,2,0,8,0,33
New Mexico State,12,0.494,0.315,0.19,1.103,0.328,0.412,0.521,0.692,0.354,69.499,0.937,-0.862,0.579,0.325,0.76,0.202,0.299,0.426,0.074,0.454,0.067,0.158,0.165,0.277,0.625,0.812,2,0,4,2,9,2,8,2,131
Indiana,12,0.561,0.252,0.185,1.081,0.334,0.314,0.51,0.695,0.334,70.1,0.94,0.264,0.551,0.247,0.769,0.168,0.326,0.402,0.085,0.457,0.08,0.151,0.172,0.308,0.416,0.606,4,8,4,4,5,1,7,0,22
UAB,12,0.534,0.295,0.17,1.118,0.383,0.327,0.528,0.739,0.294,72.779,0.979,5.843,0.555,0.319,0.756,0.158,0.324,0.37,0.071,0.478,0.123,0.151,0.208,0.315,0.444,0.794,2,1,3,2,8,3,12,1,114
Richmond,12,0.482,0.339,0.178,1.093,0.337,0.42,0.514,0.724,0.308,69.923,0.951,1.2,0.575,0.204,0.739,0.142,0.342,0.357,0.039,0.504,0.113,0.181,0.187,0.234,0.546,0.657,1,2,6,9,10,0,6,1,90
Vermont,13,0.498,0.353,0.147,1.193,0.367,0.431,0.572,0.746,0.264,66.457,0.94,1.75,0.646,0.211,0.825,0.146,0.344,0.375,0.043,0.476,0.078,0.147,0.168,0.225,0.5,0.848,0,1,1,1,7,2,19,1,176
Akron,13,0.458,0.333,0.208,1.12,0.355,0.417,0.527,0.691,0.4,65.406,0.946,0.29,0.564,0.275,0.759,0.174,0.347,0.352,0.056,0.493,0.083,0.149,0.172,0.261,0.6,0.727,0,2,2,1,4,4,16,2,183
Chattanooga,13,0.518,0.318,0.163,1.118,0.34,0.392,0.527,0.766,0.269,67.637,0.964,2.313,0.598,0.308,0.762,0.165,0.305,0.404,0.038,0.495,0.104,0.161,0.176,0.273,0.7,0.794,1,2,3,0,11,2,10,3,128
South Dakota State,13,0.505,0.311,0.183,1.252,0.441,0.343,0.596,0.76,0.351,73.052,0.934,-0.875,0.605,0.219,0.779,0.15,0.352,0.414,0.036,0.515,0.078,0.165,0.155,0.213,1,0.882,0,2,2,0,13,1,13,1,147
Montana State,14,0.49,0.289,0.219,1.157,0.367,0.362,0.538,0.75,0.403,71.177,0.919,0.593,0.578,0.25,0.794,0.18,0.323,0.357,0.067,0.482,0.071,0.13,0.178,0.36,0.714,0.794,0,2,0,0,5,3,20,2,229
Yale,14,0.517,0.288,0.194,1.075,0.328,0.362,0.5,0.737,0.327,72.147,0.924,-0.724,0.559,0.234,0.758,0.179,0.304,0.411,0.054,0.488,0.083,0.166,0.178,0.31,0.75,0.633,0,4,1,1,5,5,12,1,150
Longwood,14,0.466,0.333,0.2,1.105,0.386,0.371,0.516,0.723,0.358,69.167,0.959,4.142,0.542,0.31,0.771,0.177,0.311,0.435,0.035,0.506,0.107,0.171,0.196,0.267,0.875,0.812,0,1,0,1,4,2,18,2,319
Colgate,14,0.468,0.389,0.142,1.155,0.401,0.421,0.558,0.692,0.267,69.316,0.944,-0.333,0.577,0.249,0.775,0.165,0.336,0.358,0.059,0.49,0.089,0.196,0.158,0.242,0.142,0.676,0,2,1,0,1,6,20,3,199
CS Fullerton,15,0.542,0.24,0.217,1.074,0.335,0.3,0.491,0.764,0.357,67.739,0.943,1.724,0.531,0.273,0.735,0.177,0.371,0.363,0.035,0.508,0.101,0.194,0.198,0.26,0.6,0.677,0,2,1,1,7,3,11,4,203
Saint Peter's,15,0.527,0.261,0.211,1.029,0.347,0.303,0.478,0.684,0.374,69.259,0.928,1.517,0.528,0.289,0.76,0.202,0.294,0.363,0.093,0.44,0.105,0.151,0.203,0.41,0.428,0.633,0,3,0,1,7,3,11,4,168
Delaware,15,0.504,0.301,0.193,1.14,0.35,0.381,0.535,0.742,0.345,69.472,0.927,-1.696,0.588,0.255,0.705,0.18,0.349,0.355,0.063,0.492,0.093,0.162,0.181,0.292,0.6,0.647,0,2,1,4,8,4,12,2,169
Jax State,15,0.455,0.375,0.168,1.13,0.382,0.427,0.541,0.683,0.321,68.305,0.919,-2.379,0.565,0.268,0.753,0.195,0.325,0.449,0.05,0.48,0.088,0.187,0.167,0.211,0.5,0.677,0,2,1,1,3,2,15,5,221
Georgia State,16,0.487,0.319,0.193,0.977,0.322,0.368,0.45,0.715,0.301,70.574,0.99,6.48,0.473,0.31,0.721,0.164,0.378,0.38,0.077,0.497,0.116,0.187,0.221,0.327,0.5,0.642,0,1,0,1,7,6,8,2,181
Norfolk State,16,0.506,0.285,0.208,1.097,0.345,0.358,0.514,0.695,0.39,72.184,0.924,-1.111,0.569,0.28,0.751,0.194,0.292,0.449,0.056,0.452,0.083,0.17,0.181,0.334,0.666,0.8,0,1,0,1,2,1,19,3,340
Wright State,16,0.562,0.251,0.186,1.113,0.33,0.324,0.52,0.766,0.31,70.617,0.951,0.515,0.57,0.293,0.72,0.175,0.337,0.341,0.048,0.513,0.081,0.156,0.18,0.26,0.454,0.617,0,1,0,0,5,5,15,7,224
Texas Southern,16,0.563,0.246,0.189,1.033,0.316,0.311,0.485,0.675,0.336,71.635,0.939,-0.741,0.524,0.324,0.751,0.2,0.298,0.356,0.087,0.448,0.077,0.154,0.167,0.341,0.6,0.6,1,2,0,3,0,2,17,5,269
