Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Ohio State,1,East,0.520,0.287,0.192,1.176,0.413,0.322,0.560,0.705,0.378,65.921,0.997,7.235,0.579,0.341,0.748,0.152,0.339,0.348,0.062,0.484,0.108,0.176,0.224,0.209,0.857,0.941,,,,,,,,,24
Duke,1,West,0.496,0.296,0.208,1.148,0.375,0.356,0.536,0.750,0.374,72.339,0.978,2.235,0.564,0.333,0.687,0.169,0.316,0.242,0.073,0.438,0.103,0.165,0.206,0.302,0.500,0.882,,,,,,,,,26
Pittsburgh,1,South,0.546,0.238,0.216,1.116,0.390,0.274,0.528,0.672,0.433,65.224,1.017,3.438,0.565,0.419,0.732,0.176,0.326,0.324,0.063,0.451,0.074,0.179,0.171,0.324,0.556,0.844,,,,,,,,,30
Kansas,1,Midwest,0.542,0.265,0.194,1.198,0.387,0.326,0.577,0.681,0.406,71.398,0.967,2.706,0.619,0.362,0.743,0.186,0.294,0.336,0.072,0.447,0.111,0.157,0.195,0.328,1.000,0.941,,,,,,,,,47
North Carolina,2,East,0.591,0.205,0.204,1.046,0.333,0.253,0.492,0.663,0.379,73.989,0.985,2.636,0.522,0.357,0.724,0.183,0.327,0.348,0.085,0.461,0.083,0.170,0.189,0.248,0.833,0.788,,,,,,,,,12
San Diego State,2,West,0.572,0.244,0.184,1.078,0.336,0.302,0.508,0.700,0.327,65.368,1.007,4.125,0.551,0.366,0.723,0.166,0.305,0.297,0.087,0.439,0.095,0.161,0.192,0.289,1.000,0.938,,,,,,,,,69
Florida,2,South,0.551,0.260,0.188,1.088,0.356,0.311,0.517,0.666,0.360,66.615,0.983,2.303,0.556,0.363,0.715,0.186,0.319,0.318,0.064,0.476,0.088,0.173,0.187,0.266,0.667,0.788,,,,,,,,,29
Notre Dame,2,Midwest,0.447,0.319,0.233,1.161,0.392,0.384,0.541,0.725,0.454,66.820,0.988,0.563,0.565,0.320,0.733,0.155,0.350,0.330,0.063,0.467,0.069,0.202,0.154,0.255,1.000,0.813,,,,,,,,,20
Syracuse,3,East,0.557,0.259,0.183,1.098,0.352,0.316,0.524,0.659,0.357,68.382,0.980,1.576,0.566,0.348,0.685,0.176,0.312,0.392,0.119,0.455,0.128,0.209,0.198,0.294,0.750,0.788,,,,,,,,,27
UConn,3,West,0.550,0.238,0.212,1.051,0.332,0.293,0.481,0.755,0.343,69.127,1.014,1.800,0.521,0.380,0.678,0.167,0.335,0.311,0.093,0.453,0.096,0.181,0.174,0.274,0.750,0.743,,,,,,,,,1
