Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
BYU,3,South,0.477,0.302,0.221,1.122,0.361,0.371,0.518,0.756,0.390,73.285,0.986,4.303,0.550,0.300,0.734,0.149,0.339,0.301,0.071,0.465,0.109,0.166,0.199,0.332,1.000,0.879,,,,,,,,,65
Purdue,3,Midwest,0.516,0.286,0.197,1.085,0.367,0.330,0.508,0.712,0.351,67.894,0.987,4.719,0.533,0.301,0.722,0.151,0.328,0.274,0.076,0.458,0.093,0.180,0.210,0.314,0.400,0.781,,,,,,,,,16
Kentucky,4,East,0.508,0.289,0.203,1.117,0.397,0.319,0.524,0.718,0.371,68.864,1.002,3.152,0.539,0.338,0.731,0.154,0.332,0.299,0.108,0.440,0.080,0.161,0.176,0.307,0.143,0.758,,,,,,,,,9
Texas,4,West,0.554,0.229,0.217,1.066,0.377,0.260,0.503,0.645,0.432,70.121,1.003,3.471,0.516,0.360,0.722,0.167,0.290,0.256,0.084,0.420,0.083,0.131,0.186,0.311,0.286,0.794,,,,,,,,,34
Wisconsin,4,South,0.464,0.355,0.182,1.122,0.371,0.405,0.520,0.824,0.280,58.477,1.041,5.258,0.527,0.335,0.748,0.123,0.375,0.287,0.065,0.483,0.059,0.165,0.165,0.314,0.500,0.742,,,,,,,,,10
Louisville,4,Midwest,0.490,0.350,0.160,1.095,0.361,0.405,0.525,0.669,0.298,70.418,0.982,3.765,0.556,0.342,0.679,0.183,0.306,0.330,0.089,0.445,0.131,0.160,0.226,0.400,0.600,0.735,,,,,,,,,25
West Virginia,5,East,0.501,0.270,0.229,1.051,0.335,0.337,0.484,0.706,0.407,65.844,1.005,1.484,0.516,0.387,0.670,0.183,0.291,0.322,0.077,0.456,0.070,0.167,0.179,0.354,0.455,0.645,,,,,,,,,5
Arizona,5,West,0.457,0.311,0.232,1.172,0.399,0.368,0.544,0.747,0.441,69.383,0.944,0.412,0.565,0.319,0.733,0.184,0.288,0.285,0.047,0.484,0.072,0.189,0.182,0.363,0.750,0.794,,,,,,,,,55
Kansas State,5,South,0.490,0.291,0.219,1.057,0.374,0.331,0.497,0.651,0.427,70.776,0.972,5.032,0.512,0.400,0.716,0.208,0.348,0.278,0.089,0.470,0.088,0.154,0.221,0.454,0.667,0.677,,,,,,,,,21
Vanderbilt,5,Midwest,0.452,0.307,0.242,1.146,0.370,0.385,0.528,0.747,0.450,70.258,0.951,-1.818,0.565,0.320,0.704,0.186,0.306,0.311,0.080,0.457,0.075,0.163,0.170,0.282,0.375,0.697,,,,,,,,,35
Xavier,6,East,0.526,0.228,0.246,1.125,0.333,0.311,0.515,0.748,0.449,67.479,0.960,1.161,0.573,0.313,0.735,0.177,0.338,0.354,0.057,0.462,0.082,0.194,0.183,0.348,0.667,0.774,,,,,,,,,73
Cincinnati,6,West,0.514,0.279,0.207,1.051,0.339,0.342,0.493,0.666,0.386,65.282,1.001,5.576,0.527,0.372,0.713,0.175,0.322,0.294,0.074,0.458,0.116,0.176,0.216,0.351,0.667,0.758,,,,,,,,,52
St. John's,6,South,0.574,0.182,0.244,1.078,0.330,0.240,0.494,0.711,0.448,67.755,0.962,4.031,0.548,0.322,0.687,0.181,0.366,0.403,0.055,0.505,0.118,0.218,0.233,0.399,0.667,0.656,,,,,,,,,11
Georgetown,6,Midwest,0.519,0.297,0.184,1.150,0.360,0.366,0.544,0.732,0.336,66.579,0.929,-3.129,0.615,0.317,0.697,0.197,0.330,0.289,0.080,0.466,0.092,0.184,0.169,0.366,0.714,0.677,,,,,,,,,6
Washington,7,East,0.516,0.317,0.167,1.122,0.371,0.368,0.539,0.667,0.325,74.509,1.001,4.939,0.567,0.370,0.707,0.165,0.322,0.281,0.093,0.461,0.090,0.146,0.198,0.445,0.250,0.697,,,,,,,,,57
Temple,7,West,0.550,0.258,0.193,1.067,0.354,0.301,0.501,0.694,0.345,67.602,0.988,3.875,0.530,0.310,0.733,0.159,0.351,0.276,0.084,0.460,0.103,0.168,0.194,0.273,0.571,0.781,,,,,,,,,72
UCLA,7,South,0.553,0.222,0.225,1.082,0.328,0.294,0.505,0.683,0.428,68.787,0.939,-2.281,0.549,0.348,0.707,0.212,0.343,0.253,0.100,0.459,0.079,0.167,0.174,0.330,0.667,0.688,,,,,,,,,49
Texas A&M,7,Midwest,0.513,0.234,0.252,1.082,0.337,0.307,0.496,0.704,0.476,65.793,0.963,2.226,0.558,0.366,0.722,0.198,0.318,0.330,0.030,0.465,0.099,0.168,0.202,0.367,0.778,0.742,,,,,,,,,58
George Mason,8,East,0.523,0.275,0.202,1.131,0.397,0.310,0.536,0.690,0.393,66.585,0.971,2.031,0.557,0.305,0.708,0.163,0.313,0.327,0.061,0.458,0.101,0.169,0.199,0.320,0.333,0.813,,,,,,,,,109
Michigan,8,West,0.469,0.372,0.158,1.089,0.354,0.432,0.519,0.700,0.279,63.274,0.955,0.125,0.563,0.238,0.721,0.157,0.327,0.373,0.039,0.489,0.074,0.203,0.180,0.297,0.545,0.594,,,,,,,,,7
Butler,8,South,0.476,0.308,0.215,1.098,0.362,0.369,0.510,0.728,0.384,67.424,0.976,3.226,0.533,0.311,0.748,0.165,0.327,0.361,0.029,0.488,0.088,0.157,0.186,0.395,0.500,0.710,,,,,,,,,67
UNLV,8,Midwest,0.560,0.231,0.209,1.088,0.331,0.300,0.510,0.690,0.392,68.901,0.966,4.156,0.552,0.326,0.701,0.183,0.324,0.333,0.072,0.454,0.118,0.153,0.232,0.399,0.833,0.750,,,,,,,,,59
Villanova,9,East,0.493,0.262,0.245,1.095,0.349,0.329,0.497,0.758,0.426,68.339,0.971,1.500,0.537,0.335,0.730,0.172,0.321,0.363,0.068,0.464,0.093,0.197,0.173,0.362,0.455,0.656,,,,,,,,,33
Tennessee,9,West,0.558,0.221,0.221,1.033,0.304,0.298,0.478,0.683,0.397,69.592,0.986,3.727,0.544,0.368,0.708,0.188,0.332,0.367,0.067,0.475,0.107,0.172,0.201,0.388,0.500,0.576,,,,,,,,,14
Old Dominion,9,South,0.576,0.222,0.202,1.036,0.329,0.275,0.487,0.664,0.370,61.986,1.025,4.606,0.526,0.448,0.747,0.199,0.370,0.374,0.084,0.473,0.110,0.203,0.177,0.277,0.750,0.818,,,,,,,,,100
Illinois,9,Midwest,0.547,0.288,0.165,1.114,0.387,0.314,0.528,0.729,0.286,67.934,0.943,-1.719,0.545,0.302,0.696,0.184,0.305,0.348,0.081,0.454,0.082,0.178,0.180,0.325,0.222,0.594,,,,,,,,,3
Georgia,10,East,0.589,0.206,0.205,1.059,0.340,0.251,0.494,0.696,0.366,67.921,0.960,-0.500,0.533,0.345,0.707,0.194,0.322,0.320,0.089,0.447,0.096,0.132,0.176,0.351,0.889,0.656,,,,,,,,,39
Penn State,10,West,0.512,0.300,0.188,1.067,0.336,0.365,0.499,0.725,0.318,61.215,0.969,0.970,0.559,0.304,0.723,0.169,0.367,0.369,0.048,0.506,0.073,0.234,0.173,0.291,0.727,0.576,,,,,,,,,2
Michigan State,10,South,0.514,0.278,0.208,1.046,0.348,0.328,0.486,0.697,0.367,67.896,0.960,0.750,0.512,0.340,0.743,0.194,0.363,0.315,0.091,0.478,0.093,0.174,0.170,0.373,0.692,0.563,,,,,,,,,4
Florida State,10,Midwest,0.528,0.268,0.204,1.046,0.330,0.334,0.491,0.663,0.380,71.427,0.931,0.452,0.536,0.348,0.709,0.224,0.301,0.388,0.102,0.422,0.123,0.154,0.216,0.364,0.286,0.677,,,,,,,,,37
Marquette,11,East,0.561,0.208,0.231,1.103,0.352,0.263,0.514,0.691,0.447,69.853,0.985,2.618,0.554,0.340,0.687,0.168,0.363,0.347,0.062,0.500,0.103,0.222,0.198,0.292,0.300,0.588,,,,,,,,,8
Missouri,11,West,0.539,0.263,0.198,1.108,0.364,0.311,0.517,0.736,0.347,74.931,0.970,4.500,0.541,0.309,0.654,0.167,0.343,0.295,0.087,0.491,0.130,0.181,0.240,0.407,0.667,0.688,,,,,,,,,54
Gonzaga,11,South,0.546,0.222,0.231,1.141,0.356,0.284,0.525,0.759,0.416,70.245,0.950,2.344,0.560,0.344,0.732,0.193,0.361,0.357,0.066,0.465,0.105,0.151,0.207,0.357,0.500,0.719,,,,,,,,,89
VCU,11,Midwest,0.450,0.343,0.207,1.092,0.359,0.408,0.509,0.719,0.370,67.209,0.979,2.824,0.548,0.308,0.660,0.168,0.355,0.291,0.068,0.504,0.127,0.200,0.216,0.340,0.571,0.676,,,,,,,,,68
Clemson,12,East,0.508,0.282,0.209,1.078,0.348,0.344,0.504,0.697,0.383,67.207,0.953,3.212,0.543,0.325,0.715,0.193,0.330,0.326,0.090,0.453,0.120,0.165,0.227,0.341,0.143,0.667,,,,,,,,,43
Memphis,12,West,0.540,0.250,0.210,1.074,0.327,0.325,0.503,0.679,0.395,71.601,0.934,-0.794,0.571,0.332,0.671,0.211,0.332,0.311,0.094,0.467,0.119,0.180,0.205,0.385,0.929,0.735,,,,,,,,,92
Utah State,12,South,0.520,0.246,0.234,1.130,0.358,0.312,0.522,0.736,0.434,65.514,0.966,1.938,0.561,0.324,0.764,0.177,0.300,0.334,0.061,0.433,0.074,0.161,0.184,0.340,1.000,0.906,,,,,,,,,206
Richmond,12,Midwest,0.487,0.336,0.177,1.124,0.399,0.365,0.536,0.691,0.334,65.138,0.963,-0.412,0.541,0.266,0.685,0.160,0.301,0.300,0.074,0.446,0.094,0.170,0.190,0.292,0.400,0.794,,,,,,,,,87
Princeton,13,East,0.527,0.265,0.209,1.116,0.372,0.312,0.520,0.734,0.374,66.431,0.943,0.433,0.563,0.292,0.760,0.182,0.330,0.270,0.079,0.468,0.088,0.167,0.176,0.357,0.833,0.800,,,,,,,,,189
Oakland,13,West,0.514,0.282,0.204,1.184,0.377,0.351,0.561,0.719,0.399,74.159,0.965,-1.152,0.597,0.353,0.704,0.183,0.361,0.291,0.086,0.494,0.083,0.184,0.161,0.309,0.400,0.727,,,,,,,,,96
Belmont,13,South,0.443,0.352,0.205,1.159,0.381,0.422,0.544,0.736,0.380,71.291,0.967,6.882,0.604,0.368,0.692,0.192,0.328,0.303,0.068,0.456,0.137,0.154,0.266,0.459,0.750,0.882,,,,,,,,,246
Morehead State,13,Midwest,0.527,0.259,0.214,1.085,0.343,0.326,0.509,0.677,0.410,66.144,0.957,4.194,0.548,0.403,0.738,0.224,0.369,0.374,0.065,0.489,0.128,0.194,0.222,0.380,0.333,0.710,,,,,,,,,157
Indiana State,14,East,0.474,0.308,0.219,1.058,0.355,0.362,0.489,0.713,0.384,67.132,0.927,-1.094,0.506,0.293,0.725,0.206,0.329,0.333,0.082,0.459,0.089,0.168,0.187,0.451,0.750,0.594,,,,,,,,,95
Bucknell,14,West,0.500,0.292,0.208,1.113,0.402,0.313,0.512,0.786,0.343,67.928,0.935,-1.152,0.505,0.241,0.739,0.166,0.315,0.366,0.058,0.450,0.070,0.179,0.174,0.358,0.700,0.758,,,,,,,,,224
Wofford,14,South,0.548,0.238,0.214,1.130,0.407,0.264,0.533,0.691,0.420,67.064,0.967,1.818,0.550,0.329,0.681,0.175,0.351,0.300,0.048,0.500,0.101,0.159,0.197,0.416,0.500,0.636,,,,,,,,,115
Saint Peter's,14,Midwest,0.498,0.284,0.218,0.988,0.348,0.320,0.459,0.643,0.398,67.313,0.931,-1.061,0.483,0.315,0.681,0.217,0.305,0.316,0.086,0.422,0.114,0.156,0.208,0.424,0.667,0.606,,,,,,,,,129
Long Island,15,East,0.512,0.251,0.238,1.107,0.366,0.314,0.524,0.645,0.506,76.829,0.969,0.969,0.556,0.377,0.690,0.197,0.300,0.326,0.052,0.482,0.096,0.201,0.192,0.250,0.778,0.844,,,,,,,,,330
Northern Colorado,15,West,0.409,0.336,0.255,1.112,0.384,0.393,0.502,0.772,0.444,68.178,0.931,0.655,0.505,0.333,0.729,0.212,0.349,0.421,0.037,0.489,0.085,0.185,0.200,0.446,0.636,0.655,,,,,,,,,208
UC Santa Barbara,15,South,0.477,0.308,0.215,1.124,0.370,0.367,0.519,0.765,0.372,67.080,0.904,-3.172,0.534,0.274,0.694,0.210,0.366,0.353,0.078,0.468,0.107,0.187,0.196,0.427,0.143,0.552,,,,,,,,,180
Akron,15,Midwest,0.478,0.338,0.185,1.063,0.361,0.382,0.499,0.708,0.319,69.401,0.951,0.029,0.506,0.263,0.685,0.171,0.318,0.304,0.060,0.466,0.092,0.171,0.198,0.383,0.714,0.647,,,,,,,,,211
UTSA,16,East,0.464,0.304,0.232,1.076,0.363,0.359,0.494,0.720,0.416,70.016,0.937,-1.448,0.516,0.278,0.680,0.190,0.336,0.390,0.042,0.488,0.097,0.186,0.194,0.378,0.571,0.552,,,,,,,,,302
Hampton,16,West,0.484,0.288,0.228,0.997,0.321,0.357,0.462,0.647,0.422,69.898,0.967,1.613,0.495,0.278,0.667,0.170,0.312,0.309,0.101,0.425,0.105,0.140,0.219,0.367,0.667,0.742,,,,,,,,,342
UNC Asheville,16,South,0.568,0.201,0.231,1.070,0.330,0.261,0.493,0.705,0.421,72.567,0.925,0.100,0.542,0.303,0.655,0.209,0.337,0.335,0.076,0.478,0.122,0.175,0.234,0.398,0.364,0.567,,,,,,,,,175
Boston,16,Midwest,0.429,0.346,0.225,1.037,0.355,0.398,0.474,0.731,0.377,65.100,0.970,-0.794,0.489,0.322,0.689,0.180,0.321,0.376,0.066,0.456,0.083,0.182,0.169,0.307,0.500,0.618,,,,,,,,,232
